k,P(k)
1.000000000000000048e-04,4.242018268406015977e+02
1.016482719722096458e-04,4.309653716806842567e+02
1.033237119493630161e-04,4.378366348849770020e+02
1.050267677340709852e-04,4.448173254244488817e+02
1.067578945099494233e-04,4.519091790795036445e+02
1.085175549632780414e-04,4.591139589763541835e+02
1.103062194066649663e-04,4.664334560135733341e+02
1.121243659047491126e-04,4.738694892952092914e+02
1.139724804019748728e-04,4.814239066088807135e+02
1.158510568524727478e-04,4.890985849651492572e+02
1.177605973520807342e-04,4.968954309575253205e+02
1.197016122725417468e-04,5.048163811980027731e+02
1.216746203979131107e-04,5.128634027850238226e+02
1.236801490632243917e-04,5.210384937786450337e+02
1.257187342954206425e-04,5.293436829535392008e+02
1.277909209566287696e-04,5.377810280080449274e+02
1.298972628897854817e-04,5.463526180819925457e+02
1.320383230666652831e-04,5.550605749569755289e+02
1.342146737383487611e-04,5.639070535575432359e+02
1.364268965881705804e-04,5.728942424599050582e+02
1.386755828871888429e-04,5.820243650093358383e+02
1.409613336522167436e-04,5.912996822389748104e+02
1.432847598064591562e-04,6.007224915426000962e+02
1.456464823427969506e-04,6.102951263733157248e+02
1.480471324897625427e-04,6.200199568029386228e+02
1.504873518802513749e-04,6.298993900901296001e+02
1.529677927230140770e-04,6.399358700213959992e+02
1.554891179769752501e-04,6.501318712702870926e+02
1.580520015284257393e-04,6.604899041687314138e+02
1.606571283711351230e-04,6.710125178436227316e+02
1.633051947894334261e-04,6.817023008038985381e+02
1.659969085443100583e-04,6.925618815323126682e+02
1.687329890625803683e-04,7.035939296841816031e+02
1.715141676291704438e-04,7.148011605012644623e+02
1.743411875825707363e-04,7.261863332816575394e+02
1.772148045135117189e-04,7.377522502128408632e+02
1.801357864669140771e-04,7.495017570174882167e+02
1.831049141471676183e-04,7.614377436166578264e+02
1.861229811267939218e-04,7.735631440328667168e+02
1.891907940585479150e-04,7.858809308793826176e+02
1.923091728910158397e-04,7.983941188624272627e+02
1.954789510877666630e-04,8.111057688629010727e+02
1.987009758501157258e-04,8.240189886509956523e+02
2.019761083435602574e-04,8.371369335802454543e+02
2.053052239279469320e-04,8.504628070838268741e+02
2.086892123914335629e-04,8.639998592611834738e+02
2.121289781883065994e-04,8.777513883132471619e+02
2.156254406807191258e-04,8.917207426162016191e+02
2.191795343844130052e-04,9.059113214760882329e+02
2.227922092184908976e-04,9.203265758726787453e+02
2.264644307593059703e-04,9.349700090701007866e+02
2.301971804985357059e-04,9.498451754830098253e+02
2.339914561055099311e-04,9.649556818385394763e+02
2.378482716938622903e-04,9.803051893402088126e+02
2.417686580925772655e-04,9.958974144879721280e+02
2.457536631215046234e-04,1.011736129875428219e+03
2.498043518714149354e-04,1.027825164709096498e+03
2.539218069886713591e-04,1.044168400604824456e+03
2.581071289645939281e-04,1.060769772707236825e+03
2.623614364295923530e-04,1.077633274728111473e+03
2.666858664521479434e-04,1.094762959919530431e+03
2.710815748427231747e-04,1.112162941909776691e+03
2.755497364626802691e-04,1.129837395335806605e+03
2.800915455382921651e-04,1.147790551670714194e+03
2.847082159799287104e-04,1.166026699544839857e+03
2.894009817065040530e-04,1.184550190458717907e+03
2.941710969752718606e-04,1.203365439880804161e+03
2.990198367170569457e-04,1.222476928119767990e+03
3.039484968770112265e-04,1.241889201015562548e+03
3.089583947609874813e-04,1.261606864525466790e+03
3.140508693876216981e-04,1.281634583727534164e+03
3.192272818462186168e-04,1.301977090701371708e+03
3.244890156605365777e-04,1.322639185870982601e+03
3.298374771585681165e-04,1.343625738901673458e+03
3.352740958484162152e-04,1.364941689518926978e+03
3.408003248003649245e-04,1.386592044156932616e+03
3.464176410352488226e-04,1.408581874634391625e+03
3.521275459192226812e-04,1.430916324508566959e+03
3.579315655650388379e-04,1.453600610458020583e+03
3.638312512399386367e-04,1.476640023209995434e+03
3.698281797802661377e-04,1.500039928376937951e+03
3.759239540129174508e-04,1.523805759593286666e+03
3.821202031837346016e-04,1.547943013251018556e+03
3.884185833929627027e-04,1.572457260861742043e+03
3.948207780378827007e-04,1.597354151234020947e+03
4.013284982627411289e-04,1.622639411398106859e+03
4.079434834160958027e-04,1.648318847476460633e+03
4.146675015156989978e-04,1.674398336881158230e+03
4.215023497210442557e-04,1.700883819458127391e+03
4.284498548137012316e-04,1.727781313120333380e+03
4.355118736855685246e-04,1.755096916811496385e+03
4.426902938351729138e-04,1.782836811402995181e+03
4.499870338721504727e-04,1.811007260585584390e+03
4.574040440300426464e-04,1.839614608463632521e+03
4.649433066875433593e-04,1.868665275437378114e+03
4.726068368983388592e-04,1.898165765520190007e+03
4.803966829296808100e-04,1.928122668379010747e+03
4.883149268098355839e-04,1.958542660230637011e+03
4.963636848845581285e-04,1.989432504730583787e+03
5.045451083827372620e-04,2.020799041634882997e+03
5.128613839913648362e-04,2.052649163124633105e+03
5.213147344399808808e-04,2.084989841881941629e+03
5.299074190947543773e-04,2.117828138068185126e+03
5.386417345623527525e-04,2.151171200104932723e+03
5.475200153037678178e-04,2.185026265454151599e+03
5.565446342582578559e-04,2.219400660331687050e+03
