k,P(k)
1.000000000000000048e-04,7.450401824403490991e+01
1.084365968689610110e-04,8.057818573559165998e+01
1.175849554052156527e-04,8.714700532180562220e+01
1.275051240713013080e-04,9.425060731909091771e+01
1.382622173764655948e-04,1.019323447276492942e+02
1.499268432786045660e-04,1.102390281944216071e+02
1.625755666443794026e-04,1.192211601827371794e+02
1.762914118095947492e-04,1.289332955665676081e+02
1.911644075385702070e-04,1.394342588550414348e+02
2.072921779595371145e-04,1.507874792939379631e+02
2.247805833548725449e-04,1.630613537640617210e+02
2.437444150122219922e-04,1.763295428853592739e+02
2.643081486974104954e-04,1.906713025550114367e+02
2.866067616948251196e-04,2.061718859454891515e+02
3.107866187782011656e-04,2.229229304316402249e+02
3.370064329271927847e-04,2.410227894016333323e+02
3.654383070957255785e-04,2.605768950430859263e+02
3.962688638701477467e-04,2.816981816274006860e+02
4.297004704320840575e-04,3.045071809619539067e+02
4.659525668664678830e-04,3.291326849480996088e+02
5.052631065335679277e-04,3.557118293779817009e+02
5.478901179593940844e-04,3.843901438970627282e+02
5.941133984965031112e-04,4.153219759689308148e+02
6.442363508721370797e-04,4.486703789660035682e+02
6.985879746785244931e-04,4.846070316168995760e+02
7.575250258771910102e-04,5.233123973287073341e+02
8.214343584919425213e-04,5.649752893069638731e+02
8.907354638610435723e-04,6.097922353493620449e+02
9.658832241158695885e-04,6.579675688241782154e+02
1.047370897959449144e-03,7.097124921697391073e+02
1.135733358343104854e-03,7.652439221903374573e+02
1.231550603292825294e-03,8.247833638426783409e+02
1.335451562929898311e-03,8.885555126262529484e+02
1.448118227674532847e-03,9.567859031792075939e+02
1.570290124729376794e-03,1.029696997590409183e+03
1.702769172225898934e-03,1.107504972301181851e+03
1.846424942895543049e-03,1.190415008241364376e+03
2.002200371815583517e-03,1.278615477739208927e+03
2.171117945694502494e-03,1.372272225441069850e+03
2.354286414322416792e-03,1.471523443145855254e+03
2.552908068239516035e-03,1.576472055609874815e+03
2.768286630392063647e-03,1.687178129617083187e+03
3.001835813575587982e-03,1.803650081800541557e+03
3.255088599835055923e-03,1.925833790313619602e+03
3.529707302730646958e-03,2.053600698964816729e+03
3.827494478516310205e-03,2.186738109837308002e+03
4.150404757850472380e-03,2.324932475464737763e+03
4.500557675700495204e-03,2.467756356413595768e+03
4.880251583654428120e-03,2.614656036694078466e+03
5.291978735958437555e-03,2.764937750713412697e+03
5.738441648302388710e-03,2.917752935196714589e+03
6.222570836730225222e-03,3.072079032570832624e+03
6.747544053110689742e-03,3.226700248353549341e+03
7.316807143427186619e-03,3.380197558288969049e+03
7.934096665797484710e-03,3.530936974420411389e+03
8.603464416684499308e-03,3.677049673616343171e+03
9.329304026284674159e-03,3.816426391823680206e+03
1.011637979766206140e-02,3.946714831187179698e+03
1.096985797892382868e-02,4.065314997652735656e+03
1.189534067370318950e-02,4.169400881349912197e+03
1.289890261253307316e-02,4.255961318790761652e+03
1.398713102647237277e-02,4.321834391887156926e+03
1.516716888470921905e-02,4.363813751186494301e+03
1.644676177994661842e-02,4.378769270592572866e+03
1.783430876931907730e-02,4.363827152471531917e+03
1.933891750455229638e-02,4.316607645361404138e+03
2.097046401323229836e-02,4.235509017353837407e+03
2.273965752357925627e-02,4.120060078015311774e+03
2.465811075822601020e-02,3.971282685886227682e+03
2.673841615839942995e-02,3.792031660637956065e+03
2.899422853882873893e-02,3.587216493582649491e+03
3.144035471591496989e-02,3.363845222124536122e+03
3.409285069746810504e-02,3.130816077418731766e+03
3.696912707195022796e-02,2.898121606284599238e+03
4.008806328898460725e-02,2.676519467393404739e+03
4.347013158125020982e-02,2.474256146230693957e+03
4.713753134116717425e-02,2.297709812008843983e+03
5.111433483440162157e-02,2.152458685767144289e+03
5.542664520663100752e-02,2.030596287191204738e+03
6.010276782070373552e-02,1.923853819456246583e+03
6.517339604882416149e-02,1.816239698115934971e+03
7.067181273927485019e-02,1.690869511993422975e+03
7.663410868007444754e-02,1.536775432920077037e+03
8.309941949353381874e-02,1.357995759354102347e+03
9.011018251665010859e-02,1.174163164487167478e+03
9.771241535346482376e-02,1.012168681218805887e+03
1.059560179277614506e-01,8.943141394349883058e+02
1.148951000187307808e-01,8.193924236278454600e+02
1.245883364295005541e-01,7.608523611560258360e+02
1.350993521198024794e-01,6.874444735945301090e+02
1.464971398307284012e-01,5.915942812409663247e+02
1.588565129428051170e-01,4.993853622246522832e+02
1.722585965398783781e-01,4.382857231487045055e+02
1.867913599020779858e-01,3.988978349717010019e+02
2.025501939230665016e-01,3.525964825252157766e+02
2.196385372416542470e-01,2.991613070081981505e+02
2.381685551976154835e-01,2.602443055498834497e+02
2.582618760682672820e-01,2.313818109044754863e+02
2.800503894183625220e-01,1.992124638072805851e+02
3.036771118035456185e-01,1.725288984563710528e+02
3.292971255097142946e-01,1.510802487135903220e+02
3.570785964900455856e-01,1.304121448431744454e+02
3.872038781812549013e-01,1.136670102990447901e+02
4.198707084443903947e-01,9.857426759395998772e+01
4.552935074866943932e-01,8.579826505482962773e+01
4.937047852838997719e-01,7.461711375077938158e+01
5.353566677410712682e-01,6.503778517386629687e+01
5.805225516094887350e-01,5.675209828034705595e+01
6.294988990221875858e-01,4.960898412483354747e+01
6.826071834272376959e-01,4.345867294648378731e+01
7.401959996915632445e-01,3.815386815143151722e+01
8.026433522257168107e-01,3.357866072676766578e+01
8.703591361485137901e-01,2.963218197518025931e+01
9.437878277775358926e-01,2.622377772740264490e+01
1.023411402105451007e+00,2.327532802092961361e+01
1.109752496412069744e+00,2.071985836925520630e+01
1.203377840777587693e+00,1.849917175320290141e+01
