i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
0.000000000000000000e+00,1.492964767089342331e+03,8.763476544569645098e-04,7.363047651696497716e-04,6.196939100399746292e-04,4.993896239080734649e-04,3.722747607203206327e-04,2.543358001331530492e-04,1.621024236093610634e-04,1.075862561782677364e-04,8.178932591425126081e-05,5.718757346820326946e-05,3.731337458939930753e-05,2.448349099364892901e-05,1.757569268503869560e-05,1.368479205293855931e-05,9.414517401199873670e-06,6.365885847219590240e-06,4.292603645676191250e-06,2.195942104439131808e-06,1.183439674390623957e-06,5.884370485186346529e-07,5.784182128906250000e+02
1.000000000000000000e+00,4.445155113443142341e+02,1.265757858225937098e-03,1.044356512825909532e-03,9.764953155250084317e-04,6.891137935431142355e-04,4.539088831165473295e-04,3.498262035238810380e-04,2.301107730170663234e-04,1.579790841737924341e-04,1.000195608787976900e-04,6.633523576864833247e-05,4.474914252022547419e-05,3.033745932511357294e-05,1.913653856028803502e-05,1.179458817055461323e-05,7.848163439921197168e-06,5.687487636982587663e-06,3.580234327067233820e-06,1.875851566222331506e-06,1.228790844870328072e-06,7.514648744344662593e-07,3.862419128417968750e+02
2.000000000000000000e+00,9.376108787519226553e+02,1.558262041575502735e-03,1.127814274932206545e-03,8.554789580881179672e-04,7.521916071749239815e-04,3.994289767409587959e-04,2.145517634164233385e-04,1.334071951082456051e-04,8.687566256859884681e-05,6.076329833178538989e-05,3.974065674593763731e-05,2.805024710877223037e-05,2.132961705268367366e-05,1.609928080587432763e-05,1.112095804688183285e-05,6.806534213018310615e-06,4.188209398821958635e-06,3.260662267006665296e-06,2.987203428957356562e-06,1.454061377121489463e-06,7.145837116248775915e-07,4.954388427734375000e+02
3.000000000000000000e+00,8.564801010383127959e+02,3.880431687519074382e-04,3.497590520433170266e-04,3.392161138401517009e-04,3.218832489271007419e-04,2.592602030447430550e-04,1.869457777655106259e-04,1.395182859203522965e-04,9.239368887236206135e-05,6.955096512195457347e-05,5.109712827765946585e-05,3.954962418626370104e-05,2.666075576077269840e-05,1.664262963389070082e-05,1.141111866096235080e-05,9.253274939051452834e-06,6.904739937153954660e-06,4.504507198309828440e-06,2.902514062794493750e-06,1.270315235310243005e-06,3.783346525444207530e-07,4.805324096679687500e+02
4.000000000000000000e+00,6.004333103596848105e+02,1.032526995109969009e-03,1.026626757360000553e-03,8.247665938978263143e-04,5.989209885301055017e-04,4.249598635614419543e-04,2.967638600440255440e-04,2.162129645933112275e-04,1.433970940499715286e-04,9.527557215752602716e-05,5.897205706215214002e-05,4.003034442783251539e-05,2.665184533081900488e-05,1.778488578724728701e-05,1.210041688402919051e-05,8.043318966851011577e-06,5.081601158068926400e-06,2.904610929186579596e-06,2.038718611972349273e-06,1.443401124444230316e-06,7.725905257555762160e-07,4.269613647460937500e+02
5.000000000000000000e+00,7.213741925876877303e+02,2.063946335412226302e-03,1.747588273928410560e-03,1.090443289846423306e-03,7.004099613786124966e-04,4.571521631939058747e-04,3.251827755830428621e-04,2.272634147847743535e-04,1.519906945264487086e-04,9.903498298322499678e-05,6.654168319178509867e-05,4.644338035142553525e-05,3.408975449908615207e-05,2.265297605874393291e-05,1.468958060879959560e-05,9.142848262352832312e-06,6.083963999154909686e-06,4.156844954231473745e-06,2.012955913904001939e-06,1.000216647188140952e-06,5.979693986547339031e-07,4.539334106445312500e+02
6.000000000000000000e+00,6.705686329052668952e+02,1.093192625382466291e-03,7.293918208492549109e-04,5.925705644302812136e-04,4.197303066963292435e-04,3.072140681488420280e-04,2.029486988925076915e-04,1.394437956944396444e-04,1.027096657979666676e-04,7.475704832189574963e-05,6.304813640459696494e-05,4.935322631021653837e-05,3.404262913580883545e-05,2.167014297510745204e-05,1.253781191885328138e-05,7.929791838881891861e-06,5.780325908274002365e-06,3.738519749174215868e-06,2.159302949144864468e-06,1.316764455895289639e-06,6.163553834822249382e-07,4.429611511230468750e+02
7.000000000000000000e+00,4.728538214428671722e+02,1.047035995391417274e-03,9.711649972577023624e-04,8.076713972021805832e-04,5.706601866378112863e-04,5.453308676846560163e-04,3.866932364697865882e-04,2.271497095483250735e-04,1.411515285369110192e-04,9.043019545802486012e-05,6.218303206753704546e-05,3.992588704951327143e-05,2.592359406312109906e-05,1.702905448776021282e-05,1.116429393589435383e-05,7.151123640043162485e-06,4.708478321072195507e-06,3.590864801664308359e-06,2.047683758785269902e-06,1.326673602221555335e-06,8.087456172033041812e-07,3.942522583007812500e+02
8.000000000000000000e+00,6.142555948444372689e+02,1.046030757962404306e-03,9.659616286328086667e-04,7.171840978767805158e-04,6.174117228020610439e-04,4.731365242488046641e-04,3.822562359216725861e-04,2.741791215670076999e-04,1.742429106796415769e-04,1.078246095975753430e-04,5.953355927912526403e-05,3.357966296778690859e-05,2.256149488955894888e-05,1.853008798913962935e-05,1.594222900926174684e-05,1.187580313431874656e-05,6.273254487689867154e-06,3.233668475957545916e-06,1.580508474113293601e-06,9.488074380447352059e-07,8.323435957920253754e-07,4.302023010253906250e+02
9.000000000000000000e+00,4.290975022110754935e+02,9.972694348598719165e-04,8.906772756167827439e-04,9.292493504294710785e-04,6.941157127338900591e-04,5.559748477477440606e-04,3.875912283651230996e-04,2.414360685629726928e-04,1.362404924065619056e-04,9.118193123963734374e-05,5.456684918859965955e-05,3.599213811838699760e-05,2.267593233283569964e-05,1.636147577905012093e-05,1.180391253082893111e-05,7.672844035542978833e-06,5.302243805729816514e-06,3.660072125588726342e-06,2.486912108000513034e-06,1.320389630593559570e-06,6.580570037031661865e-07,3.817148132324218750e+02
