i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
0.000000000000000000e+00,1.492964767089342331e+03,3.281921465840771094e+13,2.757460925377292969e+13,2.320753339462343359e+13,1.870213856551767969e+13,1.394168766453582617e+13,9.524874263582271484e+12,6.070734839109464844e+12,4.029104679919476074e+12,3.063009788746000977e+12,2.141674300034989502e+12,1.397385665438793945e+12,9.169065979935426025e+11,6.582095907564471436e+11,5.124953842882886353e+11,3.525736229496195679e+11,2.384023886505182800e+11,1.607579820342050781e+11,8.223801927978181458e+10,4.431980905245788574e+10,2.203696410902108765e+10,5.784182128906250000e+02
1.000000000000000000e+00,4.445155113443142341e+02,4.202493281009819824e+12,3.467409820612241699e+12,3.242101145777680176e+12,2.287954262654233887e+12,1.507041034026482178e+12,1.161471967387829102e+12,7.639999793069278564e+11,5.245126747314577026e+11,3.320789437182154541e+11,2.202422689302285767e+11,1.485734175379934082e+11,1.007246118585353241e+11,6.353598691783959198e+10,3.915968383439895630e+10,2.605700127413193130e+10,1.888325513834520340e+10,1.188687915793692017e+10,6.228089797735973358e+09,4.079757621707900524e+09,2.494968579655483246e+09,3.862419128417968750e+02
2.000000000000000000e+00,9.376108787519226553e+02,2.304521727971140234e+13,1.667930317464101953e+13,1.265172220163239062e+13,1.112420026980522461e+13,5.907175629781379883e+12,3.173017036773619141e+12,1.972965852930588623e+12,1.284808630894988770e+12,8.986315364982666016e+11,5.877266115156066895e+11,4.148365436134711914e+11,3.154448009111155396e+11,2.380930898139217529e+11,1.644684191176385498e+11,1.006621836865145569e+11,6.193964367584508514e+10,4.822210155549378967e+10,4.417790476973873901e+10,2.150418830707138443e+10,1.056801517303726768e+10,4.954388427734375000e+02
3.000000000000000000e+00,8.564801010383127959e+02,4.777669977784488281e+12,4.306307795033188477e+12,4.176500898823904785e+12,3.963094981666729004e+12,3.192066729341413086e+12,2.301716153840836426e+12,1.717778792853296143e+12,1.137570736993098877e+12,8.563262666312946777e+11,6.291187047780656738e+11,4.869433798180798950e+11,3.282528920505894165e+11,2.049075936808002319e+11,1.404961185498209229e+11,1.139282879651889191e+11,8.501262580721012878e+10,5.546045012285297394e+10,3.573637011189458466e+10,1.564039120076418686e+10,4.658136662554298401e+09,4.805324096679687500e+02
4.000000000000000000e+00,6.004333103596848105e+02,6.255080206795685547e+12,6.219336385529991211e+12,4.996461323674287109e+12,3.628281719055849609e+12,2.574419888133448242e+12,1.797804566703814941e+12,1.309824771347694824e+12,8.687039941347648926e+11,5.771823384919859619e+11,3.572545305163733521e+11,2.425050543836688538e+11,1.614576964988994446e+11,1.077413836101052399e+11,7.330469663624252319e+10,4.872667301171691132e+10,3.078449568215080261e+10,1.759622210135277176e+10,1.235061988438959122e+10,8.744168284932981491e+09,4.680377102486198425e+09,4.269613647460937500e+02
5.000000000000000000e+00,7.213741925876877303e+02,1.805723689170710156e+13,1.528945540398079297e+13,9.540167040145732422e+12,6.127808837335385742e+12,3.999573421418425293e+12,2.844987929704603027e+12,1.988302334792696533e+12,1.329749678714885498e+12,8.664460493044278564e+11,5.821657840376959229e+11,4.063279682559414062e+11,2.982474699116588135e+11,1.981883675833122559e+11,1.285175066530704803e+11,7.998976238171609497e+10,5.322792423835764313e+10,3.636777409024217987e+10,1.761112736619072342e+10,8.750784180489835739e+09,5.231567749722319603e+09,4.539334106445312500e+02
6.000000000000000000e+00,6.705686329052668952e+02,8.258297574810355469e+12,5.510039644750171875e+12,4.476451762951203125e+12,3.170765785811984863e+12,2.320785134324871094e+12,1.533133968305486328e+12,1.053399312315020386e+12,7.758989260215462646e+11,5.647366589586163330e+11,4.762841057258623657e+11,3.728287400439912720e+11,2.571680005013392944e+11,1.637026128990879211e+11,9.471430684658105469e+10,5.990397226552642059e+10,4.366627648371830750e+10,2.824187417764960098e+10,1.631200750367767334e+10,9.947224725296760559e+09,4.656129258877640724e+09,4.429611511230468750e+02
7.000000000000000000e+00,4.728538214428671722e+02,3.931938807446309082e+12,3.647020119612546875e+12,3.033051895351933594e+12,2.143002669996035645e+12,2.047883368848356201e+12,1.452150785402720947e+12,8.530162878873437500e+11,5.300669463394792480e+11,3.395929045910598755e+11,2.335162095927991028e+11,1.499338565270744019e+11,9.735098504150828552e+10,6.394928205836061859e+10,4.192532136191767120e+10,2.685464557178002930e+10,1.768176902812444305e+10,1.348479013911905670e+10,7.689675686398401260e+09,4.982063123283031464e+09,3.037085918373819828e+09,3.942522583007812500e+02
8.000000000000000000e+00,6.142555948444372689e+02,6.631027495837069336e+12,6.123451027257387695e+12,4.546393532310414062e+12,3.913913696120727539e+12,2.999320314146409668e+12,2.423209443467334961e+12,1.738083971294299561e+12,1.104565542529593994e+12,6.835247869404592285e+11,3.773968074073728638e+11,2.128691405538379822e+11,1.430224606887036743e+11,1.174664530855806274e+11,1.010614249157149963e+11,7.528342404788632202e+10,3.976759065601958466e+10,2.049896182619393158e+10,1.001920361277313232e+10,6.014706701536105156e+09,5.276415848834137917e+09,4.302023010253906250e+02
9.000000000000000000e+00,4.290975022110754935e+02,3.084939081807266602e+12,2.755208412873816406e+12,2.874526720340820801e+12,2.147167670700909180e+12,1.719844684260135498e+12,1.198969191628000488e+12,7.468548996214536133e+11,4.214444009393761597e+11,2.820608888663521729e+11,1.687963149664236145e+11,1.113375680011877899e+11,7.014540647163342285e+10,5.061235640288817596e+10,3.651405509054364777e+10,2.373506657925826263e+10,1.640188555449388123e+10,1.132201504205189133e+10,7.692978533999170303e+09,4.084474498311964512e+09,2.035624173186592102e+09,3.817148132324218750e+02
1.000000000000000000e+01,4.622089433481254446e+02,3.850356929952619141e+12,2.948354982317046875e+12,2.692807446708045898e+12,1.818026913141885254e+12,1.554462080339200195e+12,1.179002340701261963e+12,8.616755169787679443e+11,6.027590354772738037e+11,4.199812311037742920e+11,2.927896504272522583e+11,2.011657624293850708e+11,1.314258620640757751e+11,8.803666362510260010e+10,5.705650996612197113e+10,3.301932484764384460e+10,1.897791115213209915e+10,1.066590631230026817e+10,6.657835750382114410e+09,4.417249215318727493e+09,2.300629937873988152e+09,3.913186035156250000e+02
1.100000000000000000e+01,4.656122088621146986e+02,7.164253440213231445e+12,5.559671196278125977e+12,4.214005245321922852e+12,3.266871421751579102e+12,2.354759326726323242e+12,1.697834945928811523e+12,1.086740595258384644e+12,7.860541724330195312e+11,5.175116253937438965e+11,3.547036442214685059e+11,2.393942092101871948e+11,1.552469693152839966e+11,9.898518058765618896e+10,5.869568286461461639e+10,3.526065250372155762e+10,1.966803338348005295e+10,1.126610910263195229e+10,6.130268758967596054e+09,3.583539905797398567e+09,2.285886952135302544e+09,3.923571166992187500e+02
1.200000000000000000e+01,5.663701966090129645e+02,4.116226341205637695e+12,4.027646251749884766e+12,3.459400920845243164e+12,2.547102292924869141e+12,2.084562221647929199e+12,1.720456902367258057e+12,1.213439310769413330e+12,8.035438363173990479e+11,5.167347457276549072e+11,3.393729381650647583e+11,2.297833910596194458e+11,1.596970704642373962e+11,1.116221268024438019e+11,7.467370904784942627e+10,4.176308713321700287e+10,2.607681491668649673e+10,1.981098702136551666e+10,1.279356127538803482e+10,7.122871101012806892e+09,3.271172058106195450e+09,4.187128906250000000e+02
1.300000000000000000e+01,3.608796068397691101e+02,2.026720860935551270e+12,1.943288727557308838e+12,1.431006437409676758e+12,1.366722350537778564e+12,9.588745473475339355e+11,5.483644762331864014e+11,3.672724795226051636e+11,2.633771119879812622e+11,1.750858245598088074e+11,1.150341148744974670e+11,7.627698676754615784e+10,5.110446566248478699e+10,3.339648411577655029e+10,2.262466770635237885e+10,1.724327695960961914e+10,1.253547337669200134e+10,7.958433135147233963e+09,5.204606190343321800e+09,2.717289475036992550e+09,1.665492524094367743e+09,3.602816162109375000e+02
1.400000000000000000e+01,2.798225689077440279e+02,9.924612792477474365e+11,8.133643065178897705e+11,7.352153429684990234e+11,9.001128377643734131e+11,7.760050178933244629e+11,6.758523826882012939e+11,3.862594442945578613e+11,2.191295431770223389e+11,1.381098287131827393e+11,8.240480447185520935e+10,6.320266707121888733e+10,5.577425769480621338e+10,3.620436601907327271e+10,2.195637411547323608e+10,1.307375679013226318e+10,8.008475670782404900e+09,4.460248946683012009e+09,2.446541834887090683e+09,1.442622176387681007e+09,7.065601825294373035e+08,3.309816284179687500e+02
1.500000000000000000e+01,4.192200049809505344e+02,2.346824255884612305e+12,2.772167582503500977e+12,2.173404788430942139e+12,1.965919038555861328e+12,1.633531821454248535e+12,1.032292247141869385e+12,6.795209151903212891e+11,4.136049169164421387e+11,2.968972515565276489e+11,1.792448990511651611e+11,1.084823308854771576e+11,7.409023067716522217e+10,5.030521926944268036e+10,3.244350071414155197e+10,2.200591463249888992e+10,1.948708302484004593e+10,1.239909745417286110e+10,7.511668664368197441e+09,3.591681249378454208e+09,1.604314749699424028e+09,3.787509460449218750e+02
1.600000000000000000e+01,4.355205515245748984e+02,3.643305017507852539e+12,3.075542591368630859e+12,2.290580505699020508e+12,1.945510390570665771e+12,1.507897801955114014e+12,9.843961132712158203e+11,6.251326755258021240e+11,3.967688303335789185e+11,2.674816690984283447e+11,1.858948896603089905e+11,1.326395252580703125e+11,1.050312734037423859e+11,9.709439910487211609e+10,6.437986977618949890e+10,3.903207238748351288e+10,2.142886090122166443e+10,1.115409911370630836e+10,6.567993139869732857e+09,3.217023425003743172e+09,1.359870699649188995e+09,3.835774536132812500e+02
1.700000000000000000e+01,2.285005877080142227e+02,1.221072584849032227e+12,8.855751917378834229e+11,6.638527246716833496e+11,5.555698712639251709e+11,4.064401078770459595e+11,2.576800428359181519e+11,1.870352418202987366e+11,1.332261060152919922e+11,1.011107270520372314e+11,6.403359761294819641e+10,4.066737592444618225e+10,2.771327733721380615e+10,1.812122259841805267e+10,1.200864219749363708e+10,8.012433134175523758e+09,4.726397759759108543e+09,2.940863820230557442e+09,1.676541161224661112e+09,8.538119448659139872e+08,7.214973871273100376e+08,3.093966369628906250e+02
1.800000000000000000e+01,4.005030184670517883e+02,6.194737812216704102e+12,5.655858103872853516e+12,5.186764363799839844e+12,3.459798926406067383e+12,1.944469770385945801e+12,1.319437406097492188e+12,8.159736679724425049e+11,5.058158267408918457e+11,3.036397622319053345e+11,1.981989058286815796e+11,1.240902823109390411e+11,8.444658634263595581e+10,5.145335634629469299e+10,3.301714632448596954e+10,2.210201984505065536e+10,1.525544687884667778e+10,9.019095275916330338e+09,5.538657102088499069e+09,3.320559023588684559e+09,1.733847397432045221e+09,3.731311950683593750e+02
1.900000000000000000e+01,3.636140039983796441e+02,1.943627689892530762e+12,1.938823752865446289e+12,1.778059565126870117e+12,1.332636805226137939e+12,1.021076809978930298e+12,7.736679762035408936e+11,5.195427391603758545e+11,3.721671250733907471e+11,2.730490073702262573e+11,1.832994666489526367e+11,1.277812051414526367e+11,8.673995273301315308e+10,5.961026022168373108e+10,3.466366564885481262e+10,1.692227096134383392e+10,1.020531379660288620e+10,7.014230656279420853e+09,4.245576159169690609e+09,2.902708213713394642e+09,1.386726090606148243e+09,3.611906433105468750e+02
2.000000000000000000e+01,3.344013557042840148e+02,1.553232649211040283e+12,1.308244442762853027e+12,1.069609150791266479e+12,9.888061016195827637e+11,8.631133918173864746e+11,7.341150426490529785e+11,4.839913087467766113e+11,3.206643769221323242e+11,2.002309017996181335e+11,1.366614930835830688e+11,8.399439701933763123e+10,5.246136444599181366e+10,3.380355435280760956e+10,2.108988494692259216e+10,1.299800545254000664e+10,8.662839393476463318e+09,5.251267404095797539e+09,3.211130275166980267e+09,2.692812327686562538e+09,1.698169503044644594e+09,3.512697143554687500e+02
2.100000000000000000e+01,3.437692621365671926e+02,1.252279398989219238e+12,1.270507012160000488e+12,1.201259399567041016e+12,1.012068696860653809e+12,7.543311611388160400e+11,5.412568246312301636e+11,3.982667582813708496e+11,2.476337015456200256e+11,1.687646642716013489e+11,1.177280023009161682e+11,7.321177682548132324e+10,5.032638856500385284e+10,3.123296728682446289e+10,1.628788871899071884e+10,1.133699010433137131e+10,9.122212531960971832e+09,8.099767000445728302e+09,6.232212415722707748e+09,2.812847900126588821e+09,1.141734457356760502e+09,3.544910583496093750e+02
