i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
1.900000000000000000e+01,2.766567534730294255e+02,1.019712642349120579e+06,9.844347811471417081e+05,7.430915835515371291e+05,4.974555763202173403e+05,4.060086111975697568e+05,2.761732137784903171e+05,2.043918529992405092e+05,1.485680817335047759e+05,1.103189546353584446e+05,7.657132871873088880e+04,4.838047393060151080e+04,3.060338407359197299e+04,2.348064816278409126e+04,1.516219470510793326e+04,1.005443782308990740e+04,5.985924386141620744e+03,3.565397996236846666e+03,2.003372477326553280e+03,1.214964173078936710e+03,5.711860008800078958e+02,3.290066719055175781e-01
1.900000000000000000e+01,3.099561210016443056e+02,1.068187879861396970e+06,1.199369327525844797e+06,8.448448657526209718e+05,4.793717521792912739e+05,3.499293586525905412e+05,2.844485064465698088e+05,1.877601009269118658e+05,1.246947637439815589e+05,8.408297385226420010e+04,6.053691324615840131e+04,4.403977739372562064e+04,3.946063179437869985e+04,2.924042664735628932e+04,1.618130196476127276e+04,9.080479712471253151e+03,6.047863965958175868e+03,3.675367220848304896e+03,2.045696863369998027e+03,1.098035737825341357e+03,5.813179886880183176e+02,3.416926562786102295e-01
1.900000000000000000e+01,1.296139264512932527e+02,6.137061689195252256e+05,6.355229456560061080e+05,6.484067625031046337e+05,4.952715305968587636e+05,4.744056153272060910e+05,3.545816748073445051e+05,2.302728720621545508e+05,1.578814190604552859e+05,1.036573336599133763e+05,7.011018852414506546e+04,4.366267388420300995e+04,3.113826554094708627e+04,2.158377479624257103e+04,1.341315185878079865e+04,8.952841463677363208e+03,4.996656793024138096e+03,3.253145240133025709e+03,2.181773041289391585e+03,1.300175752457955241e+03,6.722121198442498553e+02,2.554878294467926025e-01
1.900000000000000000e+01,5.938546862217256148e+02,9.012706610290426761e+05,8.062862751786801964e+05,6.806414942266326398e+05,5.399566493688833434e+05,3.605679134720839793e+05,2.881174865895927651e+05,2.087397176384694176e+05,1.446342791499713203e+05,1.038764520834058494e+05,6.668101973883886239e+04,4.732454202390483260e+04,3.321266908037409303e+04,2.456631924796773819e+04,2.067479611060888055e+04,1.220817231859919775e+04,6.403687351028624107e+03,3.885798751061134226e+03,2.205955565042805119e+03,1.057243279538160550e+03,3.754918640552207307e+02,4.244008064270019531e-01
1.900000000000000000e+01,3.546827901638293383e+02,1.938565384543291992e+06,1.306437546767681371e+06,8.589277873876800295e+05,5.526836350785184186e+05,3.240868287175768055e+05,1.875506689845748188e+05,1.068442094448587886e+05,6.537750690086233226e+04,5.500728483270850847e+04,3.787660203465240193e+04,2.329751165421758560e+04,1.956537337841217231e+04,1.749221100365423626e+04,1.518778453374678247e+04,1.065113371149530940e+04,7.912204648373445707e+03,5.201304126855265167e+03,2.700588858006859937e+03,1.132328294692638565e+03,3.326985360995062138e+02,3.574914336204528809e-01
1.900000000000000000e+01,4.450683816072916557e+02,9.215694209824517602e+05,1.055525568613514071e+06,7.403790856929402798e+05,5.340649403527724789e+05,3.736764941169990925e+05,2.438635763955193688e+05,1.745145235624693451e+05,1.304498005522289168e+05,9.172736008120088081e+04,6.888048058623181714e+04,4.840327951522773947e+04,3.114731936738115473e+04,1.891758336410926131e+04,1.285466091408194188e+04,9.254121101227690815e+03,7.677455533017729067e+03,4.693520437445858988e+03,2.150270734804220865e+03,1.075638282542755860e+03,4.801688796541660054e+02,3.854679763317108154e-01
1.900000000000000000e+01,3.788185904901207550e+02,6.646054788155247224e+05,6.544921048359629931e+05,6.491501031626502518e+05,5.180384665571328951e+05,4.069511755113185500e+05,3.436401755442082649e+05,2.648658549275162513e+05,1.760507437555108336e+05,1.041157422456197819e+05,7.894634458865586203e+04,5.437470991649996722e+04,3.625273243518400704e+04,2.556829353375968640e+04,1.745647679207594774e+04,1.469811577966160075e+04,7.574366977767039316e+03,3.376940171952248420e+03,1.652635411084768293e+03,9.145884000673971741e+02,4.846497575809134446e+02,3.653046786785125732e-01
1.900000000000000000e+01,1.363139721706519083e+02,2.357350808997964486e+05,5.808651526891479734e+05,3.834305589561271481e+05,3.542098965090286219e+05,3.468203636160879978e+05,2.835119665822156239e+05,2.274159182143117650e+05,1.534389131615460210e+05,1.000502690540829353e+05,6.998528759952774271e+04,4.771990568330865790e+04,3.116516164547187509e+04,2.101539308902064295e+04,1.416838032245035902e+04,8.613573440206135274e+03,4.680733914140475463e+03,2.758521011567388086e+03,1.664347126789481536e+03,1.184326741686774994e+03,9.548917883598294338e+02,2.598132491111755371e-01
1.900000000000000000e+01,5.552317530343082126e+02,9.249666183309743647e+05,9.872162369681150885e+05,8.363459131635273807e+05,7.589678613930166466e+05,4.779976902990037343e+05,3.220707814390147105e+05,2.092595156072239333e+05,1.379876890264812682e+05,9.777109637923710397e+04,6.764414938260705094e+04,4.672406243833011104e+04,2.929321036677071606e+04,1.828904553503412171e+04,1.347757565393202458e+04,8.923348205244192286e+03,5.192415182589225878e+03,2.978714262321936076e+03,1.964300006466868808e+03,1.365004971528318492e+03,7.492602862238514945e+02,4.150037169456481934e-01
1.900000000000000000e+01,3.590017901442825519e+02,1.782634597637112252e+06,1.618623735904842382e+06,1.237943094439733308e+06,9.808466257664971054e+05,6.923617067610337399e+05,5.019314182017311105e+05,3.427631701023824862e+05,2.120259662175404956e+05,1.380836407617836376e+05,8.395185364160533936e+04,5.040086857776186662e+04,3.183456918558882899e+04,1.977457621810284036e+04,1.248686886149612474e+04,9.366121158787993409e+03,5.790169426136579204e+03,3.183435179404483733e+03,1.977352700010598937e+03,1.277714370041013126e+03,5.951451297029361740e+02,3.589435219764709473e-01
1.900000000000000000e+01,4.252732221698483386e+02,1.490963720211001579e+06,1.480439729146318976e+06,1.075702394753526896e+06,8.278471243052990176e+05,6.027804915265272139e+05,4.162079196172087686e+05,2.636902462818276836e+05,1.535182313251898449e+05,8.957593011669263069e+04,5.919251077662623720e+04,3.983720245971487020e+04,2.687654146719675555e+04,1.618779177193672331e+04,1.092000553162714095e+04,6.778760116412337084e+03,4.475563908387151059e+03,2.911213103873859836e+03,1.927233624151473350e+03,1.340638768580652368e+03,9.574121783671348567e+02,3.797537088394165039e-01
1.900000000000000000e+01,4.380343397387362074e+02,8.531165395711205201e+05,9.595821505264220759e+05,6.605067049550533993e+05,5.354672234799150610e+05,4.641311179698461783e+05,3.402919520341918687e+05,2.547633535126870556e+05,1.670779381754820351e+05,1.064535976574577799e+05,7.757061077913630288e+04,4.439684697002136090e+04,2.635693071462193620e+04,1.950321607543847131e+04,1.161817651905204548e+04,6.861203263359449011e+03,4.936750678577145663e+03,3.710724412889510859e+03,2.786437019328717270e+03,1.449765951435063698e+03,5.034890223003885126e+02,3.834443688392639160e-01
1.900000000000000000e+01,4.048865630962052933e+02,6.135390410308991559e+05,8.324871406569128158e+05,6.900899549183117924e+05,4.923521271569844102e+05,4.018072049616841832e+05,2.965470411020588945e+05,2.435708763164887205e+05,1.858418940094611607e+05,9.949727861607439991e+04,6.321072000155725254e+04,4.256561023390197079e+04,2.993867100085811762e+04,2.140213356096099960e+04,1.352275551130305757e+04,8.101871727006401670e+03,5.890254149106513069e+03,3.392253233683888084e+03,1.875699801869433486e+03,1.487011814459930974e+03,6.191664085944505587e+02,3.735156953334808350e-01
1.900000000000000000e+01,1.884150521185741127e+03,1.427465246589960530e+06,9.861048682032192592e+05,8.182137562459697947e+05,5.798226576727556530e+05,4.308877258837670670e+05,2.928166990194168175e+05,1.943232695606926573e+05,1.284094052406358096e+05,9.119053910600059316e+04,6.342456603277890827e+04,4.641695874721150176e+04,3.110599537162659908e+04,2.071083262521103461e+04,1.443353016995029429e+04,9.138742989766202300e+03,5.645886815176426353e+03,4.348263714183771299e+03,2.669898938146390265e+03,1.168959265977606947e+03,4.383552128445178937e+02,6.236498355865478516e-01
1.900000000000000000e+01,3.167868645995254155e+03,4.465364016990966164e+06,2.549096162808249239e+06,1.431653014954418642e+06,9.384223219099401031e+05,6.064258294294427615e+05,3.994262940501230187e+05,2.389280124603099248e+05,1.621646482837900112e+05,1.153543394982955942e+05,8.710685000912350370e+04,6.210156902946311311e+04,3.767132257902066340e+04,2.351387919065667666e+04,1.533600283601019692e+04,9.573077296970555835e+03,5.949324234693580365e+03,3.267613443963789905e+03,2.025526413348087090e+03,1.301947177913552650e+03,4.470483733821318992e+02,7.422910928726196289e-01
