k, P_1h 
1.000000000000000056e-01,5.933407465377969814e+00
1.268961003167922152e-01,5.932927814391241839e+00
1.610262027560939169e-01,5.932155560175923270e+00
2.043359717856941815e-01,5.930912312546763765e+00
2.592943797404667072e-01,5.928911094265219006e+00
3.290344562312668697e-01,5.925690516236731931e+00
4.175318936560401539e-01,5.920509484075194173e+00
5.298316906283708771e-01,5.912179461514011969e+00
6.723357536499336984e-01,5.898799047067083023e+00
8.531678524172807698e-01,5.877338592501013537e+00
1.082636733874054569e+00,5.843002055504394221e+00
1.373823795883263088e+00,5.788277271549386427e+00
1.743328822199988082e+00,5.701601109852930449e+00
2.212216291070449259e+00,5.565684403149463222e+00
2.807216203941177213e+00,5.355926930239990114e+00
3.562247890262442152e+00,5.040301274854699365e+00
4.520353656360242667e+00,4.583876842148136177e+00
5.736152510448678576e+00,3.963114348640171869e+00
7.278953843983149596e+00,3.192942389620676558e+00
9.236708571873860407e+00,2.354176791768591848e+00
1.172102297533480630e+01,1.582340371143286850e+00
1.487352107293511772e+01,9.930724871923171104e-01
1.887391822135097641e+01,6.070788419202769459e-01
2.395026619987486072e+01,3.646968536149142182e-01
3.039195382313198124e+01,2.064781370131531513e-01
3.856620421163471946e+01,1.126152869535071432e-01
4.893900918477493889e+01,6.121501276449926171e-02
6.210169418915616291e+01,3.119809752733222752e-02
7.880462815669912402e+01,1.502645557594823982e-02
1.000000000000000000e+02,6.667997973073149127e-03
