k, P_1h 
1.000000000000000056e-01,1.006762719823799443e+02
1.268961003167922152e-01,1.006637412315530895e+02
1.610262027560939169e-01,1.006435675340073033e+02
2.043359717856941815e-01,1.006110932091326760e+02
2.592943797404667072e-01,1.005588285462876001e+02
3.290344562312668697e-01,1.004747400213627202e+02
4.175318936560401539e-01,1.003395200581090165e+02
5.298316906283708771e-01,1.001222582061134574e+02
6.723357536499336984e-01,9.977364454436681740e+01
8.531678524172807698e-01,9.921547107598141224e+01
1.082636733874054569e+00,9.832485989581147123e+01
1.373823795883263088e+00,9.691171572326071271e+01
1.743328822199988082e+00,9.468944038577411959e+01
2.212216291070449259e+00,9.124452136749211206e+01
2.807216203941177213e+00,8.602531717262228028e+01
3.562247890262442152e+00,7.840094396584008507e+01
4.520353656360242667e+00,6.788404262201811434e+01
5.736152510448678576e+00,5.460866334711902681e+01
7.278953843983149596e+00,3.992700030522162535e+01
9.236708571873860407e+00,2.639771028959841104e+01
1.172102297533480630e+01,1.632085364955503692e+01
1.487352107293511772e+01,1.001042059999008593e+01
1.887391822135097641e+01,6.201408542828060533e+00
2.395026619987486072e+01,3.802304958509787891e+00
3.039195382313198124e+01,2.365077126501647697e+00
3.856620421163471946e+01,1.456014067617006802e+00
4.893900918477493889e+01,8.714675772705127166e-01
6.210169418915616291e+01,5.198847650988963620e-01
7.880462815669912402e+01,3.027679364546185803e-01
1.000000000000000000e+02,1.761141330861143994e-01
