k, P_1h 
1.000000000000000056e-01,3.523588624867444707e+01
1.268961003167922152e-01,3.523100709842390188e+01
1.610262027560939169e-01,3.522315226868623483e+01
2.043359717856941815e-01,3.521050880930289395e+01
2.592943797404667072e-01,3.519016215938071923e+01
3.290344562312668697e-01,3.515743144750152283e+01
4.175318936560401539e-01,3.510481115714613054e+01
5.298316906283708771e-01,3.502029788962242662e+01
6.723357536499336984e-01,3.488477557153825614e+01
8.531678524172807698e-01,3.466800827266889939e+01
1.082636733874054569e+00,3.432270255453022401e+01
1.373823795883263088e+00,3.377623158083375188e+01
1.743328822199988082e+00,3.292043993030838323e+01
2.212216291070449259e+00,3.160255068322087624e+01
2.807216203941177213e+00,2.962648830605223793e+01
3.562247890262442152e+00,2.678555048602652278e+01
4.520353656360242667e+00,2.295902426426316367e+01
5.736152510448678576e+00,1.828682434191944495e+01
7.278953843983149596e+00,1.332463977053384951e+01
9.236708571873860407e+00,8.910280322369899864e+00
1.172102297533480630e+01,5.644128571222427837e+00
1.487352107293511772e+01,3.525400727163285453e+00
1.887391822135097641e+01,2.188538781125615174e+00
2.395026619987486072e+01,1.348925180097432008e+00
3.039195382313198124e+01,8.377870924855751467e-01
3.856620421163471946e+01,5.041710393666386514e-01
4.893900918477493889e+01,2.932044905884551578e-01
6.210169418915616291e+01,1.704182124421242395e-01
7.880462815669912402e+01,9.744340316911981326e-02
1.000000000000000000e+02,5.672486105648287535e-02
