k, P_1h 
1.000000000000000056e-01,7.533566135551813758e+00
1.268961003167922152e-01,7.532984317234152627e+00
1.610262027560939169e-01,7.532047566687254836e+00
2.043359717856941815e-01,7.530539488301810636e+00
2.592943797404667072e-01,7.528111956454466736e+00
3.290344562312668697e-01,7.524205247481950742e+00
4.175318936560401539e-01,7.517920260206717664e+00
5.298316906283708771e-01,7.507814899946083642e+00
6.723357536499336984e-01,7.491581729344286344e+00
8.531678524172807698e-01,7.465543108410818363e+00
1.082636733874054569e+00,7.423874570421300945e+00
1.373823795883263088e+00,7.357446383497816988e+00
1.743328822199988082e+00,7.252188547838311017e+00
2.212216291070449259e+00,7.087021072926129150e+00
2.807216203941177213e+00,6.831845475709987348e+00
3.562247890262442152e+00,6.447225955675957465e+00
4.520353656360242667e+00,5.889563915597994637e+00
5.736152510448678576e+00,5.128042995198782705e+00
7.278953843983149596e+00,4.177307149502381023e+00
9.236708571873860407e+00,3.131049911410410225e+00
1.172102297533480630e+01,2.148596632392463679e+00
1.487352107293511772e+01,1.368182621683249556e+00
1.887391822135097641e+01,8.325768377612998705e-01
2.395026619987486072e+01,4.938815428603264279e-01
3.039195382313198124e+01,2.818837700978521488e-01
3.856620421163471946e+01,1.555803492104936292e-01
4.893900918477493889e+01,8.330676511321277733e-02
6.210169418915616291e+01,4.275500078740073623e-02
7.880462815669912402e+01,2.092046606811243797e-02
1.000000000000000000e+02,1.022967173217557112e-02
