k, P_1h 
1.000000000000000056e-01,2.034062856598989999e+00
1.268961003167922152e-01,2.033905765653221565e+00
1.610262027560939169e-01,2.033652843005559152e+00
2.043359717856941815e-01,2.033245661841489582e+00
2.592943797404667072e-01,2.032590228242706409e+00
3.290344562312668697e-01,2.031535416820126727e+00
4.175318936560401539e-01,2.029838470255813654e+00
5.298316906283708771e-01,2.027110022985442406e+00
6.723357536499336984e-01,2.022727066922958006e+00
8.531678524172807698e-01,2.015696639270921242e+00
1.082636733874054569e+00,2.004446134013751379e+00
1.373823795883263088e+00,1.986510523544410933e+00
1.743328822199988082e+00,1.958090907916344214e+00
2.212216291070449259e+00,1.913495689690054569e+00
2.807216203941177213e+00,1.844598278441697214e+00
3.562247890262442152e+00,1.740751008032508818e+00
4.520353656360242667e+00,1.590182257211458783e+00
5.736152510448678576e+00,1.384571608703671686e+00
7.278953843983149596e+00,1.127872930365642956e+00
9.236708571873860407e+00,8.453834760808108806e-01
1.172102297533480630e+01,5.801210907459650734e-01
1.487352107293511772e+01,3.694093078544773423e-01
1.887391822135097641e+01,2.247957461955509273e-01
2.395026619987486072e+01,1.333480165722881472e-01
3.039195382313198124e+01,7.610861792642006907e-02
3.856620421163471946e+01,4.200669428683326961e-02
4.893900918477493889e+01,2.249282658056744530e-02
6.210169418915616291e+01,1.154385021259819559e-02
7.880462815669912402e+01,5.648525838390355998e-03
1.000000000000000000e+02,2.762011367687403074e-03
