k, P_1h 
1.000000000000000056e-01,1.006761979029748062e+02
1.268961003167922152e-01,1.006636219512066504e+02
1.610262027560939169e-01,1.006433754793020086e+02
2.043359717856941815e-01,1.006107839971598708e+02
2.592943797404667072e-01,1.005583307543450076e+02
3.290344562312668697e-01,1.004739387578703287e+02
4.175318936560401539e-01,1.003382306224159066e+02
5.298316906283708771e-01,1.001201839712988999e+02
6.723357536499336984e-01,9.977030990614161965e+01
8.531678524172807698e-01,9.921011546524036362e+01
1.082636733874054569e+00,9.831627220717820137e+01
1.373823795883263088e+00,9.689798073275662205e+01
1.743328822199988082e+00,9.466756345166325559e+01
2.212216291070449259e+00,9.120990667102995531e+01
2.807216203941177213e+00,8.597112916779038017e+01
3.562247890262442152e+00,7.831755245102806384e+01
4.520353656360242667e+00,6.775916658452695174e+01
5.736152510448678576e+00,5.442960305997100789e+01
7.278953843983149596e+00,3.968713847592857746e+01
9.236708571873860407e+00,2.610816213252106976e+01
1.172102297533480630e+01,1.601997338415132432e+01
1.487352107293511772e+01,9.750896420168858825e+00
1.887391822135097641e+01,6.013115610423438895e+00
2.395026619987486072e+01,3.687671768424604313e+00
3.039195382313198124e+01,2.307716648422008188e+00
3.856620421163471946e+01,1.426818090726381438e+00
4.893900918477493889e+01,8.686331715799177067e-01
6.210169418915616291e+01,5.139341017314303928e-01
7.880462815669912402e+01,2.984043897494793596e-01
1.000000000000000000e+02,1.739085162623970338e-01
