k, P_1h 
1.000000000000000056e-01,2.034064089698127020e+00
1.268961003167922152e-01,2.033907751017385301e+00
1.610262027560939169e-01,2.033656039317666142e+00
2.043359717856941815e-01,2.033250807070840604e+00
2.592943797404667072e-01,2.032598509079362348e+00
3.290344562312668697e-01,2.031548739912222956e+00
4.175318936560401539e-01,2.029859894839929790e+00
5.298316906283708771e-01,2.027144446846551595e+00
6.723357536499336984e-01,2.022782303371168044e+00
8.531678524172807698e-01,2.015785080276270236e+00
1.082636733874054569e+00,2.004587245982777599e+00
1.373823795883263088e+00,1.986734401747880741e+00
1.743328822199988082e+00,1.958442829951902331e+00
2.212216291070449259e+00,1.914040553281908696e+00
2.807216203941177213e+00,1.845420805130922215e+00
3.562247890262442152e+00,1.741940292118241640e+00
4.520353656360242667e+00,1.591774433550142032e+00
5.736152510448678576e+00,1.386403705651066964e+00
7.278953843983149596e+00,1.129305437665988787e+00
9.236708571873860407e+00,8.449979647738413702e-01
1.172102297533480630e+01,5.759854626013118928e-01
1.487352107293511772e+01,3.608981748966736403e-01
1.887391822135097641e+01,2.147077596327020277e-01
2.395026619987486072e+01,1.251907543773634335e-01
3.039195382313198124e+01,7.110995782847100155e-02
3.856620421163471946e+01,3.971204489006313620e-02
4.893900918477493889e+01,2.102089838485883891e-02
6.210169418915616291e+01,1.066766460078490478e-02
7.880462815669912402e+01,5.413712741864549170e-03
1.000000000000000000e+02,2.826874138199154864e-03
