k, P_1h 
1.000000000000000056e-01,2.034051279006878321e+00
1.268961003167922152e-01,2.033887123716876744e+00
1.610262027560939169e-01,2.033622827249517151e+00
2.043359717856941815e-01,2.033197335469872691e+00
2.592943797404667072e-01,2.032512427907229746e+00
3.290344562312668697e-01,2.031410183997245156e+00
4.175318936560401539e-01,2.029636932080050915e+00
5.298316906283708771e-01,2.026785803281225817e+00
6.723357536499336984e-01,2.022205789906143192e+00
8.531678524172807698e-01,2.014859321058184882e+00
1.082636733874054569e+00,2.003103193161662077e+00
1.373823795883263088e+00,1.984361863069109777e+00
1.743328822199988082e+00,1.954666544229282321e+00
2.212216291070449259e+00,1.908072456402731820e+00
2.807216203941177213e+00,1.836095914737750245e+00
3.562247890262442152e+00,1.727636440684412023e+00
4.520353656360242667e+00,1.570475075193130454e+00
5.736152510448678576e+00,1.356170831327191628e+00
7.278953843983149596e+00,1.089583236729415594e+00
9.236708571873860407e+00,7.989193234198680438e-01
1.172102297533480630e+01,5.322044113806356780e-01
1.487352107293511772e+01,3.304964821018172572e-01
1.887391822135097641e+01,2.015181642000900553e-01
2.395026619987486072e+01,1.224065943318240479e-01
3.039195382313198124e+01,7.013974711431472664e-02
3.856620421163471946e+01,3.827226376881980030e-02
4.893900918477493889e+01,2.057017886690548983e-02
6.210169418915616291e+01,1.061101682480993305e-02
7.880462815669912402e+01,5.429048498597328042e-03
1.000000000000000000e+02,2.755513638335028298e-03
