k, P_1h 
1.000000000000000056e-01,7.533522080853865432e+00
1.268961003167922152e-01,7.532913381494260818e+00
1.610262027560939169e-01,7.531933351586002523e+00
2.043359717856941815e-01,7.530355598057905553e+00
2.592943797404667072e-01,7.527815912372425089e+00
3.290344562312668697e-01,7.523728713636048226e+00
4.175318936560401539e-01,7.517153368608584962e+00
5.298316906283708771e-01,7.506581176573673631e+00
6.723357536499336984e-01,7.489598149208978484e+00
8.531678524172807698e-01,7.462356885210100543e+00
1.082636733874054569e+00,7.418764230829005157e+00
1.373823795883263088e+00,7.349269792338022356e+00
1.743328822199988082e+00,7.239156788731513359e+00
2.212216291070449259e+00,7.066380989681467995e+00
2.807216203941177213e+00,6.799483058348431364e+00
3.562247890262442152e+00,6.397299329212932761e+00
4.520353656360242667e+00,5.814518296753639959e+00
5.736152510448678576e+00,5.019843704495869474e+00
7.278953843983149596e+00,4.031333132088758653e+00
9.236708571873860407e+00,2.953730374199101227e+00
1.172102297533480630e+01,1.965483608342941446e+00
1.487352107293511772e+01,1.219285859469795286e+00
1.887391822135097641e+01,7.435303339752670215e-01
2.395026619987486072e+01,4.521034332775997200e-01
3.039195382313198124e+01,2.591113696062605776e-01
3.856620421163471946e+01,1.415473134570680303e-01
4.893900918477493889e+01,7.622845380246623392e-02
6.210169418915616291e+01,3.934799627603206840e-02
7.880462815669912402e+01,2.017744926760552115e-02
1.000000000000000000e+02,1.021469639128834081e-02
