k, P_1h 
1.000000000000000056e-01,5.933411462835473493e+00
1.268961003167922152e-01,5.932934250788470365e+00
1.610262027560939169e-01,5.932165923018368758e+00
2.043359717856941815e-01,5.930928995695817996e+00
2.592943797404667072e-01,5.928937948804518854e+00
3.290344562312668697e-01,5.925733733934246850e+00
4.175318936560401539e-01,5.920579010727061942e+00
5.298316906283708771e-01,5.912291248839826707e+00
6.723357536499336984e-01,5.898978616962786248e+00
8.531678524172807698e-01,5.877626616923123493e+00
1.082636733874054569e+00,5.843462932038240965e+00
1.373823795883263088e+00,5.789011887305602677e+00
1.743328822199988082e+00,5.702764754340755360e+00
2.212216291070449259e+00,5.567509050003021542e+00
2.807216203941177213e+00,5.358741245299777134e+00
3.562247890262442152e+00,5.044526211956462447e+00
4.520353656360242667e+00,4.589940910091372395e+00
5.736152510448678576e+00,3.971178318399872342e+00
7.278953843983149596e+00,3.202299541156553797e+00
9.236708571873860407e+00,2.362428633809691814e+00
1.172102297533480630e+01,1.585366263840736201e+00
1.487352107293511772e+01,9.878561220564501255e-01
1.887391822135097641e+01,5.961960448535785773e-01
2.395026619987486072e+01,3.541190407641219284e-01
3.039195382313198124e+01,2.003367419014923934e-01
3.856620421163471946e+01,1.098510601540441389e-01
4.893900918477493889e+01,5.902985388762585495e-02
6.210169418915616291e+01,2.979675959583477640e-02
7.880462815669912402e+01,1.447186295167210250e-02
1.000000000000000000e+02,6.658123846665317015e-03
