k, P_1h 
1.000000000000000056e-01,7.533571781946532653e+00
1.268961003167922152e-01,7.532993408622688847e+00
1.610262027560939169e-01,7.532062204165905328e+00
2.043359717856941815e-01,7.530563053191400513e+00
2.592943797404667072e-01,7.528149888397141609e+00
3.290344562312668697e-01,7.524266292328277927e+00
4.175318936560401539e-01,7.518018466358895147e+00
5.298316906283708771e-01,7.507972799152154764e+00
6.723357536499336984e-01,7.491835371192850701e+00
8.531678524172807698e-01,7.465949941897967790e+00
1.082636733874054569e+00,7.424525556910694490e+00
1.373823795883263088e+00,7.358484025679771001e+00
1.743328822199988082e+00,7.253832191600575463e+00
2.212216291070449259e+00,7.089598380214191309e+00
2.807216203941177213e+00,6.835820685872078251e+00
3.562247890262442152e+00,6.453193664530276763e+00
4.520353656360242667e+00,5.898129390322562671e+00
5.736152510448678576e+00,5.139433324232517641e+00
7.278953843983149596e+00,4.190524093264348160e+00
9.236708571873860407e+00,3.142705609383418697e+00
1.172102297533480630e+01,2.152870695226499542e+00
1.487352107293511772e+01,1.360814524204194020e+00
1.887391822135097641e+01,8.172049250320948532e-01
2.395026619987486072e+01,4.789404192675871808e-01
3.039195382313198124e+01,2.732090710187986549e-01
3.856620421163471946e+01,1.516758885406260249e-01
4.893900918477493889e+01,8.022023585525833722e-02
6.210169418915616291e+01,4.077561586869999505e-02
7.880462815669912402e+01,2.013710592931864871e-02
1.000000000000000000e+02,1.021572456321817070e-02
