k, P_1h 
1.000000000000000056e-01,3.523579444881703182e+01
1.268961003167922152e-01,3.523085928821008395e+01
1.610262027560939169e-01,3.522291428561431559e+01
2.043359717856941815e-01,3.521012567224012457e+01
2.592943797404667072e-01,3.518954541061739860e+01
3.290344562312668697e-01,3.515643884470622993e+01
4.175318936560401539e-01,3.510321416510834069e+01
5.298316906283708771e-01,3.501772983255777660e+01
6.723357536499336984e-01,3.488064943322684996e+01
8.531678524172807698e-01,3.466138765059034910e+01
1.082636733874054569e+00,3.431210236629343058e+01
1.373823795883263088e+00,3.375931879536320679e+01
1.743328822199988082e+00,3.289360613179159998e+01
2.212216291070449259e+00,3.156035825390137717e+01
2.807216203941177213e+00,2.956110026202861363e+01
3.562247890262442152e+00,2.668654100268541640e+01
4.520353656360242667e+00,2.281457040284762883e+01
5.736152510448678576e+00,1.808814890734374004e+01
7.278953843983149596e+00,1.307559408666371326e+01
9.236708571873860407e+00,8.639396498906769750e+00
1.172102297533480630e+01,5.403689472210664313e+00
1.487352107293511772e+01,3.357898699087212613e+00
1.887391822135097641e+01,2.088375220720196879e+00
2.395026619987486072e+01,1.283784901430567782e+00
3.039195382313198124e+01,7.998222739266704906e-01
3.856620421163471946e+01,4.875703189853828889e-01
4.893900918477493889e+01,2.866631678376825865e-01
6.210169418915616291e+01,1.683674295675648691e-01
7.880462815669912402e+01,9.474108038870179826e-02
1.000000000000000000e+02,5.538072352287743555e-02
