k, P_1h 
1.000000000000000056e-01,7.533522887589178652e+00
1.268961003167922152e-01,7.532914680639418492e+00
1.610262027560939169e-01,7.531935443783229545e+00
2.043359717856941815e-01,7.530358967647936552e+00
2.592943797404667072e-01,7.527821339861503702e+00
3.290344562312668697e-01,7.523737457373913529e+00
4.175318936560401539e-01,7.517167458828978077e+00
5.298316906283708771e-01,7.506603892727412131e+00
6.723357536499336984e-01,7.489634798512813774e+00
8.531678524172807698e-01,7.462416081749708496e+00
1.082636733874054569e+00,7.418860020038541947e+00
1.373823795883263088e+00,7.349425235147617030e+00
1.743328822199988082e+00,7.239410136292562470e+00
2.212216291070449259e+00,7.066796591331392818e+00
2.807216203941177213e+00,6.800171104540738476e+00
3.562247890262442152e+00,6.398452022164597963e+00
4.520353656360242667e+00,5.816474688074585231e+00
5.736152510448678576e+00,5.023194594648539457e+00
7.278953843983149596e+00,4.037040876912041831e+00
9.236708571873860407e+00,2.963082539079749722e+00
1.172102297533480630e+01,1.979353285580033317e+00
1.487352107293511772e+01,1.236214568575816131e+00
1.887391822135097641e+01,7.587960790305576797e-01
2.395026619987486072e+01,4.627331614577021579e-01
3.039195382313198124e+01,2.661997781656605944e-01
3.856620421163471946e+01,1.450237113262466404e-01
4.893900918477493889e+01,7.806052058976711838e-02
6.210169418915616291e+01,4.034051587149947715e-02
7.880462815669912402e+01,2.021290112281016668e-02
1.000000000000000000e+02,1.005059971346058609e-02
