k, P_1h 
1.000000000000000056e-01,7.533563599822876711e+00
1.268961003167922152e-01,7.532980234254365470e+00
1.610262027560939169e-01,7.532040992559845272e+00
2.043359717856941815e-01,7.530528903633848969e+00
2.592943797404667072e-01,7.528094915994437031e+00
3.290344562312668697e-01,7.524177817282898140e+00
4.175318936560401539e-01,7.517876114778174745e+00
5.298316906283708771e-01,7.507743877404974953e+00
6.723357536499336984e-01,7.491467528028330491e+00
8.531678524172807698e-01,7.465359637696371564e+00
1.082636733874054569e+00,7.423580228669631964e+00
1.373823795883263088e+00,7.356975238757847535e+00
1.743328822199988082e+00,7.251437139985642766e+00
2.212216291070449259e+00,7.085829681896829157e+00
2.807216203941177213e+00,6.829974161135701216e+00
3.562247890262442152e+00,6.444330732303370723e+00
4.520353656360242667e+00,5.885191516465896555e+00
5.736152510448678576e+00,5.121689325225867506e+00
7.278953843983149596e+00,4.168619932509953330e+00
9.236708571873860407e+00,3.120244037518905778e+00
1.172102297533480630e+01,2.136922686317444864e+00
1.487352107293511772e+01,1.357731735183631772e+00
1.887391822135097641e+01,8.246970823365861181e-01
2.395026619987486072e+01,4.877940693962670715e-01
3.039195382313198124e+01,2.765795656265297442e-01
3.856620421163471946e+01,1.521560222954578823e-01
4.893900918477493889e+01,8.148391438631849559e-02
6.210169418915616291e+01,4.151882673853173750e-02
7.880462815669912402e+01,2.040482995113801143e-02
1.000000000000000000e+02,1.016935093342367577e-02
