k, P_1h 
1.000000000000000056e-01,2.034062171952176978e+00
1.268961003167922152e-01,2.033904663248678801e+00
1.610262027560939169e-01,2.033651067991158357e+00
2.043359717856941815e-01,2.033242803981139879e+00
2.592943797404667072e-01,2.032585627318498123e+00
3.290344562312668697e-01,2.031528010666383111e+00
4.175318936560401539e-01,2.029826550990107670e+00
5.298316906283708771e-01,2.027090846899343823e+00
6.723357536499336984e-01,2.022696232567649410e+00
8.531678524172807698e-01,2.015647102178021122e+00
1.082636733874054569e+00,2.004366661740800915e+00
1.373823795883263088e+00,1.986383314464619021e+00
1.743328822199988082e+00,1.957888027796123698e+00
2.212216291070449259e+00,1.913174014112144050e+00
2.807216203941177213e+00,1.844093023506639728e+00
3.562247890262442152e+00,1.739969297721910113e+00
4.520353656360242667e+00,1.589001709445792443e+00
5.736152510448678576e+00,1.382856117810984387e+00
7.278953843983149596e+00,1.125527381777687630e+00
9.236708571873860407e+00,8.424658901301047553e-01
1.172102297533480630e+01,5.769691253057100955e-01
1.487352107293511772e+01,3.665875684995805184e-01
1.887391822135097641e+01,2.226682122308782374e-01
2.395026619987486072e+01,1.317043987369921343e-01
3.039195382313198124e+01,7.467648271916302316e-02
3.856620421163471946e+01,4.108212601977360989e-02
4.893900918477493889e+01,2.200065688430599339e-02
6.210169418915616291e+01,1.121008321940356739e-02
7.880462815669912402e+01,5.509304086807260623e-03
1.000000000000000000e+02,2.745724752024391278e-03
