k, P_1h 
1.000000000000000056e-01,2.034056565172898345e+00
1.268961003167922152e-01,2.033895635461755447e+00
1.610262027560939169e-01,2.033636532436140953e+00
2.043359717856941815e-01,2.033219401940770332e+00
2.592943797404667072e-01,2.032547954301941129e+00
3.290344562312668697e-01,2.031467374196544995e+00
4.175318936560401539e-01,2.029728980246615411e+00
5.298316906283708771e-01,2.026933913417103383e+00
6.723357536499336984e-01,2.022443997123265724e+00
8.531678524172807698e-01,2.015242149150829221e+00
1.082636733874054569e+00,2.003717712264289741e+00
1.373823795883263088e+00,1.985346404506941109e+00
1.743328822199988082e+00,1.956239046643441837e+00
2.212216291070449259e+00,1.910571586560156465e+00
2.807216203941177213e+00,1.840036029373341542e+00
3.562247890262442152e+00,1.733768831733164095e+00
4.520353656360242667e+00,1.579823491956854120e+00
5.736152510448678576e+00,1.369953896574837682e+00
7.278953843983149596e+00,1.108843211626676428e+00
9.236708571873860407e+00,8.236179945728073770e-01
1.172102297533480630e+01,5.598516060457614518e-01
1.487352107293511772e+01,3.556355759537492833e-01
1.887391822135097641e+01,2.187793149820652649e-01
2.395026619987486072e+01,1.318620026754946106e-01
3.039195382313198124e+01,7.572473990037820180e-02
3.856620421163471946e+01,4.187803673303446689e-02
4.893900918477493889e+01,2.250863564367916805e-02
6.210169418915616291e+01,1.160911362363898150e-02
7.880462815669912402e+01,5.974706893512966507e-03
1.000000000000000000e+02,3.085798530098149677e-03
