i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
0.000000000000000000e+00,9.389485072401294374e+00,1.882693727771978378e+08,1.645664263400401473e+08,3.438758495079931617e+08,2.794961023278122544e+08,4.436846352501177788e+08,2.799099394451987147e+08,1.946810763373770118e+08,1.774688025866884887e+08,1.090270014554728270e+08,9.005945800312195718e+07,5.607065208482160419e+07,3.550000410478913784e+07,1.993496599193881825e+07,8.286227556694497354e+06,4.829551681537842378e+06,2.702429445396738127e+06,1.204517337310205447e+06,7.442193628931427374e+05,3.980579290425681393e+05,1.586238363369725994e+05,7.393886566162109375e+01
1.000000000000000000e+00,9.628888706255445129e+00,9.995740394671638012e+08,3.201457666345911622e+08,3.445870428463358283e+08,5.986844866790474653e+08,4.364291940716665387e+08,3.435053773218676448e+08,2.217580171248704195e+08,1.626942818782013059e+08,9.998924785679180920e+07,1.093947491236139238e+08,5.243563899542494118e+07,3.555365046180085093e+07,2.245297896238481626e+07,1.245074685202510655e+07,5.933521804115022533e+06,3.162120636339968070e+06,1.465051813609742559e+06,6.667540371994120069e+05,2.784619280754301581e+05,1.292430832536400558e+05,7.454480743408203125e+01
2.000000000000000000e+00,5.987422673201265866e+00,3.805122032676065713e+07,2.878651218507651091e+08,1.595883546855304837e+08,1.772176125428516865e+08,1.788450616141555309e+08,1.398850105429277420e+08,9.066647649384416640e+07,5.756398259408291429e+07,5.124749226235479116e+07,3.369037312242106348e+07,1.963374499247760326e+07,1.211985917500322871e+07,7.389590542305127718e+06,4.290027550672877580e+06,1.848271182886736933e+06,9.897968456763010472e+05,4.725259690863183932e+05,2.252262312726031232e+05,1.514480686630323180e+05,1.063274994807126059e+05,6.363265228271484375e+01
3.000000000000000000e+00,8.695979314580929653e+00,3.963035070929604173e+08,6.015592374026799202e+08,6.376996756088277102e+08,3.800341929445146322e+08,3.555706227819497585e+08,2.689299846112788916e+08,2.238534535309254527e+08,1.654301083856058121e+08,1.210533687427003533e+08,7.731323594172434509e+07,4.391984225598298758e+07,3.370541535207547247e+07,1.674762951013400406e+07,8.781376939038565382e+06,5.252798187288226560e+06,2.474176519766345154e+06,1.146584140602695756e+06,4.457334770068076905e+05,2.110819867824754620e+05,1.312280721697939734e+05,7.209799957275390625e+01
4.000000000000000000e+00,9.520407501623473934e+00,4.556898334820986390e+08,4.229307774476855397e+08,3.213025644485454559e+08,3.891853486429451704e+08,4.193042720840615034e+08,3.750069189242976904e+08,2.492385043516580462e+08,1.618002579490389526e+08,1.223829280282009095e+08,9.383078875774383545e+07,5.651196372347167134e+07,3.444766777869738638e+07,1.760744471315613389e+07,1.084860092306360230e+07,6.509077014854514040e+06,3.149063644154146779e+06,1.323766296038548695e+06,6.330966986084743403e+05,2.984147078665472800e+05,1.498584932116656564e+05,7.427084350585937500e+01
5.000000000000000000e+00,8.905298646430383158e+00,2.918658051113109589e+08,4.783945481191859245e+08,4.963646559825672507e+08,3.553317907542834878e+08,3.432468438195211887e+08,3.016494284699416161e+08,2.269095923887861967e+08,1.629699470869098306e+08,1.266207908890805095e+08,9.509893174444784224e+07,5.364452910208612680e+07,2.836209008651810139e+07,1.709060393289357796e+07,1.010433724536265433e+07,5.162144491530396044e+06,2.016410629800421419e+06,1.067951107159695588e+06,5.181921653350818669e+05,2.678978554275896167e+05,1.588486489123151405e+05,7.264644622802734375e+01
6.000000000000000000e+00,9.555894760538745203e+00,1.016986907018472075e+09,5.021019539768037200e+08,5.596009437384577990e+08,6.101421638563016653e+08,5.865800788867619038e+08,3.429179072738672495e+08,2.743814542022095323e+08,1.531516558423333764e+08,1.639015449871767759e+08,8.902514252220523357e+07,5.681960992393339425e+07,3.608908651645666361e+07,1.843597204665761441e+07,1.077077577992125601e+07,4.893444224449127913e+06,2.204197154915887862e+06,1.146674103133177618e+06,5.753795532083848957e+05,4.625110880728990305e+05,1.903359066609322035e+05,7.437440490722656250e+01
7.000000000000000000e+00,7.927894385973321967e+00,0.000000000000000000e+00,2.592610600433452725e+08,5.668166648030210733e+08,2.496576968545340598e+08,1.905989913908433914e+08,2.040298322083134949e+08,1.581939353504475057e+08,1.040947009143821001e+08,7.746390812873540819e+07,5.364342405470658094e+07,3.207652727413285524e+07,2.087337639396438003e+07,1.186373809860613011e+07,7.603510475413975306e+06,3.316042258339266293e+06,1.632661816389157670e+06,9.219189197797975503e+05,5.332562570685199462e+05,3.059772253952364554e+05,1.552367718206662394e+05,6.988861083984375000e+01
8.000000000000000000e+00,8.627626729895380819e+00,6.090248326203559637e+08,2.534872436740310192e+08,4.118303339508031607e+08,3.370106868316439390e+08,2.399346906987267435e+08,1.447319129394044578e+08,1.537660022345947921e+08,9.666295894699805975e+07,8.386178197463780642e+07,5.025665193610463291e+07,3.445030981242089719e+07,2.293957999928172305e+07,1.359862089248148166e+07,1.011006378872100636e+07,5.489097790920767933e+06,2.491955222882125061e+06,1.265903518499300815e+06,6.070173449754377361e+05,2.903453313881575596e+05,1.542112202066408354e+05,7.189030456542968750e+01
9.000000000000000000e+00,8.847819382441860725e+00,8.306884472526835203e+08,2.641414119178186059e+08,1.725809660926730037e+08,3.681039999040960073e+08,3.004892083038742542e+08,2.872794573991272449e+08,1.383349677297629118e+08,1.383870733741593063e+08,9.686003465057985485e+07,5.444196178273542970e+07,5.060751717881111056e+07,2.624993228239751980e+07,1.640490684879886732e+07,8.144027503667715937e+06,4.220974685140383430e+06,2.594854060651851818e+06,1.165891340685040224e+06,6.164254966125456849e+05,3.221085226279388880e+05,1.948051640667741885e+05,7.248387145996093750e+01
1.000000000000000000e+01,6.914115362795509867e+00,3.997935697023923993e+08,4.284803688606887460e+08,5.043850086555716991e+08,1.982566934252502322e+08,1.442291914332035482e+08,1.884048692581620216e+08,1.356704269667147398e+08,8.672735808192263544e+07,5.523545997885022312e+07,4.657854859130533785e+07,2.702682758901515231e+07,1.929084292261269689e+07,9.753571330183830112e+06,5.519249849250365049e+06,2.438167805013768841e+06,1.422337801723373588e+06,6.728720743124770233e+05,3.753290455589342746e+05,1.998721799859190651e+05,1.052858696130853059e+05,6.679600524902343750e+01
1.100000000000000000e+01,4.980809232394095787e+00,4.353402790279667974e+08,2.929131587445591688e+08,3.537858766666246057e+08,2.093106541786450148e+08,1.323936745213031769e+08,9.395451933500383794e+07,6.370770813410584629e+07,4.567965554437316209e+07,3.413064919533950090e+07,2.826485078634539619e+07,1.320075297830707580e+07,8.558203479074392468e+06,5.228272444528046064e+06,2.937593052831150126e+06,1.372790284031699412e+06,7.055391390639337478e+05,3.934326199510574806e+05,1.781308367880760634e+05,8.096140052948928496e+04,5.724242262980982923e+04,5.987372589111328125e+01
