i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
0.000000000000000000e+00,3.233923073163204975e+01,3.022127885058333800e-04,1.454636671152685439e-04,4.232525720870318193e-04,2.709629402683704055e-04,3.608145665488796333e-04,2.360776502427328505e-04,2.201755625760626648e-04,1.707256532231468140e-04,1.334285259148355223e-04,9.493905584213004002e-05,6.257393409872996420e-05,4.021514675979357464e-05,2.366655583775464485e-05,1.486014625050527219e-05,8.355608513288391803e-06,5.118597499746131771e-06,3.865586618462697089e-06,2.037070367782750052e-06,1.095954624306137515e-06,5.834280158819695389e-07,1.612101593017578125e+02
1.000000000000000000e+00,1.503541089612632931e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.338826811879444654e-04,2.515678064797129934e-04,3.678253375926024285e-04,1.671069347017539936e-04,1.450615014654852515e-04,1.641713100356911685e-04,1.029665005434934026e-04,7.273758233188008251e-05,5.636144823066797981e-05,2.950128575561045921e-05,1.869481258311977696e-05,1.220482939787860720e-05,7.342256456821210729e-06,4.376573685389443615e-06,3.303288015159772894e-06,1.967733994577058230e-06,1.276519625968621471e-06,8.517067795240129726e-07,1.248949737548828125e+02
2.000000000000000000e+00,3.467130642968580645e+01,6.085448724170886914e-04,3.806199230174659625e-04,1.511687402220185817e-04,2.045436659841369075e-04,3.451522291595975934e-04,2.142310877640762553e-04,1.559196836901191358e-04,1.680738117729359011e-04,1.134590023035922797e-04,7.044787481625597368e-05,5.511739548085750894e-05,3.832442682613719298e-05,2.823703198608588978e-05,1.957790538432502289e-05,1.196328523193312345e-05,6.900771278434531564e-06,3.660016325360311652e-06,1.925092542373633696e-06,9.041825774204704025e-07,4.638467638773541574e-07,1.650149536132812500e+02
3.000000000000000000e+00,2.117648890321705579e+01,5.974169700019593167e-04,1.497088792586347833e-04,5.340848482315294944e-04,1.609082826842618747e-04,2.395298549012177052e-04,3.359491254382500564e-04,2.987975215687790572e-04,2.187886010806501037e-04,1.066924352034485430e-04,7.224444469740212010e-05,5.509717046623972066e-05,3.648939857828723281e-05,2.323632847567117180e-05,1.463008977046943991e-05,1.050547463998161680e-05,6.708514907370131575e-06,3.856877462324038445e-06,1.899741292842927449e-06,9.900356998196818881e-07,5.521503946364130475e-07,1.399959564208984375e+02
4.000000000000000000e+00,1.903119833396597471e+01,1.641007214251598225e-04,1.148914385707752641e-03,4.769988433893917069e-04,3.749567744592820434e-04,4.415591310200885013e-04,3.407162226705638675e-04,2.734629552753245333e-04,1.726734776160160237e-04,1.347806842978228133e-04,1.076609787333028138e-04,7.438784875329489165e-05,4.609938968744189524e-05,2.755248702012577251e-05,1.443212644568910065e-05,1.082146758111470657e-05,6.144546024469229442e-06,3.372586501949217056e-06,1.632646774135098892e-06,9.129271932356412223e-07,5.877298856098878516e-07,1.351158142089843750e+02
5.000000000000000000e+00,2.135715833751836357e+01,2.813762607879566162e-04,1.235114080626306730e-04,1.381200284878624993e-04,1.338509250436977025e-04,2.119228634811317789e-04,1.971504935037990457e-04,1.561588809420080262e-04,1.305440085367239424e-04,1.056148430649881640e-04,6.621591418986077734e-05,4.721966521485217253e-05,3.902073181887686271e-05,2.967995499403409691e-05,1.957983790059294083e-05,1.068613152461312952e-05,5.783384153743987134e-06,3.190371131106309808e-06,1.938996273729665010e-06,9.736641793890338320e-07,6.246188779143623192e-07,1.403813476562500000e+02
6.000000000000000000e+00,3.196520597312950684e+01,7.633070537583358517e-04,7.577303472839824663e-04,4.175841581202889758e-04,5.051747758437301339e-04,4.877442050759241490e-04,4.394412225867446592e-04,3.045794086161637175e-04,2.731584306949342688e-04,1.758217549298207738e-04,1.057644353768657570e-04,6.604306580890707498e-05,4.669976101725854329e-05,3.189681239842793585e-05,1.872307927569241538e-05,1.354958751166063229e-05,5.851142077781791756e-06,2.877273936300478869e-06,1.507827371482155362e-06,8.347481269984151109e-07,5.092706667654024108e-07,1.605910186767578125e+02
7.000000000000000000e+00,3.286236361205220646e+01,3.213074761624392360e-04,3.735511217601244593e-04,4.646762747525385044e-04,7.049995458984842844e-04,3.980726245445163837e-04,2.650732835397938587e-04,2.873788018484032939e-04,2.040759978217717558e-04,1.182205592318984498e-04,7.302190988192909624e-05,4.793654635966561561e-05,2.718045216943989521e-05,1.779667001992741890e-05,1.108439632624485746e-05,8.087227308669888505e-06,5.415423226844989942e-06,4.027952108512300492e-06,2.348917811865409743e-06,1.241263274490533565e-06,5.901112740664819192e-07,1.620832672119140625e+02
8.000000000000000000e+00,2.881745805508933955e+01,2.195296375478343956e-04,2.200509034835941005e-04,2.280320605072327976e-04,1.085328688672179979e-04,1.693246635562953263e-04,1.836017719019131353e-04,1.774814744465312739e-04,1.275023208115342525e-04,1.034024257593282349e-04,7.944941996470398127e-05,4.717438593196576671e-05,2.960684192423926653e-05,2.072854821873046092e-05,1.238896748468242616e-05,8.217668232886069378e-06,5.290160985521230205e-06,3.550182916669045259e-06,2.210488381921649290e-06,1.340072475949794230e-06,6.463740259879355806e-07,1.551316070556640625e+02
9.000000000000000000e+00,1.914084443657582923e+01,6.033887125315182885e-05,0.000000000000000000e+00,3.640791936646915511e-04,1.981038232695854083e-04,1.623356653129029653e-04,1.376455436776963020e-04,1.230979338576354987e-04,1.090543087921453129e-04,1.032721879514212824e-04,8.896359561349180415e-05,5.528346565226361411e-05,3.691340660571402061e-05,2.655964163614230709e-05,1.566097220111459500e-05,8.070939768230056199e-06,4.816890934598440565e-06,3.227270892147140078e-06,1.956557907297165333e-06,1.278386573909984870e-06,6.767541510645163205e-07,1.353517608642578125e+02
