i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
1.900000000000000000e+01,1.385846751434183489e+03,9.212836460597120225e+06,6.554464598252184689e+06,4.404393811384370551e+06,2.694267533822711557e+06,1.878618996540013235e+06,1.190453553241517628e+06,7.668485972485807724e+05,5.337734348274634685e+05,3.714741377169229672e+05,2.676744299325300381e+05,1.738953090932332852e+05,1.177786014365999436e+05,6.764867641052957333e+04,4.037193920103893470e+04,2.491992249541240744e+04,1.505741188440283440e+04,9.236721678587953647e+03,5.548453296035945641e+03,3.715724637456861274e+03,1.999074340671146274e+03,3.910658955574035645e-01
1.900000000000000000e+01,1.673457080014304665e+03,1.088899113658339158e+07,7.647726128343744203e+06,5.148354337619695812e+06,3.563875089462651871e+06,2.440509158905250952e+06,1.577383582001193194e+06,1.087504117713020882e+06,7.192724899983049836e+05,4.677239029363570153e+05,3.101412930487369886e+05,2.010755227790764184e+05,1.257525706111503678e+05,7.709443741589179263e+04,4.477343899709609104e+04,2.641658551820551656e+04,1.682411429652881634e+04,1.057741976494828486e+04,5.732065557799197450e+03,2.894365660965306688e+03,1.553404030987634997e+03,4.165076911449432373e-01
1.900000000000000000e+01,1.753202734536750995e+03,9.153879073732612655e+06,6.492686546048512682e+06,4.438502314155916683e+06,3.065880582355141640e+06,2.125769793925461825e+06,1.349382127655708697e+06,9.042094201416987926e+05,5.770000764416700695e+05,3.896461448686929652e+05,2.702597605736438418e+05,1.745922950547742075e+05,1.034031839491053252e+05,6.502348766923895892e+04,4.232505467712685640e+04,2.499844590594281181e+04,1.510402314964410471e+04,9.211929513670389497e+03,5.960471571560911798e+03,3.616704777222661505e+03,1.926604465898122953e+03,4.229314923286437988e-01
1.900000000000000000e+01,2.332392698049645787e+03,7.021370382170944475e+06,4.761729245392197743e+06,3.636586483771702740e+06,2.527652901020722464e+06,1.704900881252625491e+06,1.236216945878149942e+06,8.294185764107840369e+05,5.486092301938044839e+05,3.611167462139282143e+05,2.339376995171221206e+05,1.579377624141021515e+05,9.968941689439496258e+04,5.998023596582549362e+04,3.550115916954298154e+04,2.178622929952082995e+04,1.376585674003120039e+04,8.929694704730467492e+03,5.858386597715035350e+03,3.456032533563969992e+03,2.566768715987931046e+03,4.651143848896026611e-01
1.900000000000000000e+01,3.894996165487260441e+03,9.747052530725214630e+06,6.119603578707203269e+06,3.663506936993825249e+06,2.161394271093950141e+06,1.393123313467835775e+06,9.399637876893024659e+05,6.585201707534401212e+05,4.535680075563146384e+05,3.122929504980863421e+05,2.127524099637676554e+05,1.355477267704767582e+05,9.865810141667706193e+04,6.650828484375470725e+04,4.066069404796901654e+04,2.571516451715145013e+04,1.568958662026982529e+04,1.012725297395122107e+04,5.720709307614142745e+03,3.632694100375915241e+03,2.125796176398871467e+03,5.521507859230041504e-01
1.900000000000000000e+01,3.959796054739619649e+03,6.601603353462563828e+06,4.508947828616337851e+06,3.318236525626636576e+06,2.203680040106915869e+06,1.564701760598255089e+06,1.063588783228207845e+06,7.067194733494319953e+05,4.862956141724355984e+05,3.314129967396262800e+05,2.286260795709572849e+05,1.486487483977022348e+05,9.578257582965552865e+04,6.068273039101219183e+04,3.924033928229074809e+04,2.688893373245638941e+04,1.633490209631447942e+04,1.044379904727731991e+04,6.834566951265046555e+03,3.396654736883421720e+03,1.826915605525915907e+03,5.557919740676879883e-01
1.900000000000000000e+01,4.777776236127456286e+03,7.969118669393841177e+06,4.884632315412752330e+06,3.321963926505428739e+06,2.019499505480375607e+06,1.343541243085062131e+06,8.502488962570020230e+05,5.677104704471842851e+05,3.653365281143825850e+05,2.299938834540531680e+05,1.449927692677843152e+05,8.950032595883248723e+04,5.737412841874205333e+04,3.744919198605071870e+04,2.379544360833438986e+04,1.620263279040100133e+04,1.245505897641685442e+04,7.998350729031944866e+03,7.728966824037852348e+03,4.461507502308131734e+03,2.841365217939268405e+03,5.920423865318298340e-01
1.900000000000000000e+01,8.989236621626576380e+03,7.686015806067422964e+06,4.634869387586344033e+06,2.865855953292375430e+06,1.844742519302222412e+06,1.272045720710117137e+06,8.314772512599342735e+05,5.477218469438473694e+05,3.608230722258400638e+05,2.506443221819213359e+05,1.739591690333647130e+05,1.225774463033107750e+05,8.672915310152182064e+04,6.483547631879457913e+04,4.614103943014133256e+04,2.345168060247845642e+04,1.423118816860728293e+04,9.422905509447640725e+03,7.665368193483604045e+03,4.251537305662670406e+03,1.717444106998827465e+03,7.296922802925109863e-01
1.900000000000000000e+01,6.274928503079423535e+03,8.156453768144246191e+06,5.154555955801878124e+06,3.385276955311442725e+06,2.263160947207906749e+06,1.506174868372227997e+06,1.059877780216973275e+06,7.205711359258270822e+05,4.998218183913304820e+05,3.542444626397707616e+05,2.483741284200278751e+05,1.640722763837390812e+05,1.049422064741585928e+05,6.914782868982263608e+04,4.278020043032342073e+04,2.601863618906107513e+04,1.605917900543059113e+04,1.034492471512836710e+04,5.960788869312919815e+03,3.098815901922441753e+03,2.067377932102031082e+03,6.470702290534973145e-01
1.900000000000000000e+01,8.482935520187789734e+03,7.536904073081949726e+06,5.043821286464028060e+06,2.732583728030604776e+06,1.568438213992068311e+06,9.628960421865694225e+05,6.320096375538744032e+05,4.349148292080003885e+05,2.748176751851753215e+05,1.982960173421347281e+05,1.512443298662501620e+05,1.195712290804503718e+05,8.752895596815188765e+04,5.914213634079120675e+04,4.330153124197590660e+04,2.919223831954400521e+04,1.844877642085771004e+04,1.214688311501549833e+04,6.413992079790318712e+03,3.375049389652698665e+03,1.900601755895801034e+03,7.153860926628112793e-01
