k, P_1h 
1.000000000000000056e-01,7.533570702585652867e+00
1.268961003167922152e-01,7.532991670434759257e+00
1.610262027560939169e-01,7.532059404880244280e+00
2.043359717856941815e-01,7.530558544706815738e+00
2.592943797404667072e-01,7.528142626219858968e+00
3.290344562312668697e-01,7.524254592267490160e+00
4.175318936560401539e-01,7.517999610518256937e+00
5.298316906283708771e-01,7.507942395727969398e+00
6.723357536499336984e-01,7.491786308782101500e+00
8.531678524172807698e-01,7.465870667689889828e+00
1.082636733874054569e+00,7.424397207343618632e+00
1.373823795883263088e+00,7.358275562029187533e+00
1.743328822199988082e+00,7.253491962784822000e+00
2.212216291070449259e+00,7.089039086229291797e+00
2.807216203941177213e+00,6.834891870855266838e+00
3.562247890262442152e+00,6.451630711549042552e+00
4.520353656360242667e+00,5.895460865000526240e+00
5.736152510448678576e+00,5.134828539448395013e+00
7.278953843983149596e+00,4.182612732096253616e+00
9.236708571873860407e+00,3.129622091754967528e+00
1.172102297533480630e+01,2.133279491115970039e+00
1.487352107293511772e+01,1.336659907024717375e+00
1.887391822135097641e+01,7.952139245655631683e-01
2.395026619987486072e+01,4.636694606569016774e-01
3.039195382313198124e+01,2.633702141795223328e-01
3.856620421163471946e+01,1.470816477409746248e-01
4.893900918477493889e+01,7.785517920318091312e-02
6.210169418915616291e+01,3.950986889179596007e-02
7.880462815669912402e+01,2.005078793283167696e-02
1.000000000000000000e+02,1.046990421555242870e-02
