k, P_1h 
1.000000000000000056e-01,7.533523255581030753e+00
1.268961003167922152e-01,7.532915273025468039e+00
1.610262027560939169e-01,7.531936397220432511e+00
2.043359717856941815e-01,7.530360501740267054e+00
2.592943797404667072e-01,7.527823807063812822e+00
3.290344562312668697e-01,7.523741422212017582e+00
4.175318936560401539e-01,7.517173822518706139e+00
5.298316906283708771e-01,7.506614086226761628e+00
6.723357536499336984e-01,7.489651073726454555e+00
8.531678524172807698e-01,7.462441929845127220e+00
1.082636733874054569e+00,7.418900715413561997e+00
1.373823795883263088e+00,7.349488381737442566e+00
1.743328822199988082e+00,7.239505719367709702e+00
2.212216291070449259e+00,7.066935023713821096e+00
2.807216203941177213e+00,6.800355239769442228e+00
3.562247890262442152e+00,6.398653484016341153e+00
4.520353656360242667e+00,5.816574352567149830e+00
5.736152510448678576e+00,5.022854930841448962e+00
7.278953843983149596e+00,4.035493469368205410e+00
9.236708571873860407e+00,2.958960457110622499e+00
1.172102297533480630e+01,1.971127449557909861e+00
1.487352107293511772e+01,1.224061044821545652e+00
1.887391822135097641e+01,7.463635711114446902e-01
2.395026619987486072e+01,4.533577567845334944e-01
3.039195382313198124e+01,2.597768411641286357e-01
3.856620421163471946e+01,1.417491250697029970e-01
4.893900918477493889e+01,7.618584765520552970e-02
6.210169418915616291e+01,3.930006231411086598e-02
7.880462815669912402e+01,2.010758703184195931e-02
1.000000000000000000e+02,1.020560606790751196e-02
