k, P_1h 
1.000000000000000056e-01,3.523586032088265085e+01
1.268961003167922152e-01,3.523096535030265386e+01
1.610262027560939169e-01,3.522308504953937813e+01
2.043359717856941815e-01,3.521040058511241000e+01
2.592943797404667072e-01,3.518998793220080756e+01
3.290344562312668697e-01,3.515715100527918935e+01
4.175318936560401539e-01,3.510435985465353781e+01
5.298316906283708771e-01,3.501957190743733861e+01
6.723357536499336984e-01,3.488360844815943551e+01
8.531678524172807698e-01,3.466613380890953522e+01
1.082636733874054569e+00,3.431969686350858240e+01
1.373823795883263088e+00,3.377142433415731659e+01
1.743328822199988082e+00,3.291278300336958296e+01
2.212216291070449259e+00,3.159043553945912208e+01
2.807216203941177213e+00,2.960752250436107147e+01
3.562247890262442152e+00,2.675636345584231890e+01
4.520353656360242667e+00,2.291531765114125818e+01
5.736152510448678576e+00,1.822415324141763904e+01
7.278953843983149596e+00,1.324068813028128133e+01
9.236708571873860407e+00,8.808938467392831484e+00
1.172102297533480630e+01,5.538820478331128783e+00
1.487352107293511772e+01,3.434567264225855787e+00
1.887391822135097641e+01,2.122636254783997423e+00
2.395026619987486072e+01,1.308803563567617623e+00
3.039195382313198124e+01,8.177109251577012738e-01
3.856620421163471946e+01,4.939524474549197852e-01
4.893900918477493889e+01,2.922124485967469432e-01
6.210169418915616291e+01,1.683354802635111669e-01
7.880462815669912402e+01,9.591616182232108601e-02
1.000000000000000000e+02,5.595289516818179043e-02
