k, P_1h 
1.000000000000000056e-01,5.933409260988327993e+00
1.268961003167922152e-01,5.932930705249576775e+00
1.610262027560939169e-01,5.932160213802744053e+00
2.043359717856941815e-01,5.930919802443221478e+00
2.592943797404667072e-01,5.928923145468164790e+00
3.290344562312668697e-01,5.925709897227966039e+00
4.175318936560401539e-01,5.920540628801861160e+00
5.298316906283708771e-01,5.912229447588089215e+00
6.723357536499336984e-01,5.898879110480318211e+00
8.531678524172807698e-01,5.877466411131463175e+00
1.082636733874054569e+00,5.843205027493393544e+00
1.373823795883263088e+00,5.788596780279754661e+00
1.743328822199988082e+00,5.702096843209679022e+00
2.212216291070449259e+00,5.566435031242912501e+00
2.807216203941177213e+00,5.357016251742759749e+00
3.562247890262442152e+00,5.041762404421340271e+00
4.520353656360242667e+00,4.585535369327700117e+00
5.736152510448678576e+00,3.964232980649020632e+00
7.278953843983149596e+00,3.191606913168000492e+00
9.236708571873860407e+00,2.346765079289407918e+00
1.172102297533480630e+01,1.564589105970662031e+00
1.487352107293511772e+01,9.649113302572729367e-01
1.887391822135097641e+01,5.771596843313324676e-01
2.395026619987486072e+01,3.417726054632579391e-01
3.039195382313198124e+01,1.925567214300408225e-01
3.856620421163471946e+01,1.063515040357229102e-01
4.893900918477493889e+01,5.740761709888408948e-02
6.210169418915616291e+01,2.895931754758367810e-02
7.880462815669912402e+01,1.449625397502017805e-02
1.000000000000000000e+02,6.849199728937378599e-03
