k, P_1h 
1.000000000000000056e-01,1.006760096970730416e+02
1.268961003167922152e-01,1.006633189166564364e+02
1.610262027560939169e-01,1.006428875823732625e+02
2.043359717856941815e-01,1.006099985318105041e+02
2.592943797404667072e-01,1.005570664069638269e+02
3.290344562312668697e-01,1.004719040133761467e+02
4.175318936560401539e-01,1.003349572237153353e+02
5.298316906283708771e-01,1.001149209002144573e+02
6.723357536499336984e-01,9.976185557776280177e+01
8.531678524172807698e-01,9.919655501289985011e+01
1.082636733874054569e+00,9.829457364370634309e+01
1.373823795883263088e+00,9.686339347905916952e+01
1.743328822199988082e+00,9.461277239001186956e+01
2.212216291070449259e+00,9.112397156943640653e+01
2.807216203941177213e+00,8.583849418969764145e+01
3.562247890262442152e+00,7.811805972772263829e+01
4.520353656360242667e+00,6.747131730368802494e+01
5.736152510448678576e+00,5.404101924833130255e+01
7.278953843983149596e+00,3.921544120844981052e+01
9.236708571873860407e+00,2.562375650827518569e+01
1.172102297533480630e+01,1.563388479523571206e+01
1.487352107293511772e+01,9.531843376915594135e+00
1.887391822135097641e+01,5.915226941669721406e+00
2.395026619987486072e+01,3.616189876604462672e+00
3.039195382313198124e+01,2.256606216333348680e+00
3.856620421163471946e+01,1.408583437956276274e+00
4.893900918477493889e+01,8.527780836968769096e-01
6.210169418915616291e+01,5.140253854572981451e-01
7.880462815669912402e+01,2.950470142248527994e-01
1.000000000000000000e+02,1.722737401329560158e-01
