k, P_1h 
1.000000000000000056e-01,2.034064381125564314e+00
1.268961003167922152e-01,2.033908220328126681e+00
1.610262027560939169e-01,2.033656795124794581e+00
2.043359717856941815e-01,2.033252024361678956e+00
2.592943797404667072e-01,2.032600469867228199e+00
3.290344562312668697e-01,2.031551898928635858e+00
4.175318936560401539e-01,2.029864985916901787e+00
5.298316906283708771e-01,2.027152655771081946e+00
6.723357536499336984e-01,2.022795550222070471e+00
8.531678524172807698e-01,2.015806484312451907e+00
1.082636733874054569e+00,2.004621900365888276e+00
1.373823795883263088e+00,1.986790686933538330e+00
1.743328822199988082e+00,1.958534691732155553e+00
2.212216291070449259e+00,1.914191562657831636e+00
2.807216203941177213e+00,1.845671585185461705e+00
3.562247890262442152e+00,1.742362289423174726e+00
4.520353656360242667e+00,1.592494935387092081e+00
5.736152510448678576e+00,1.387646997542779870e+00
7.278953843983149596e+00,1.131441505181374207e+00
9.236708571873860407e+00,8.485305145335231281e-01
1.172102297533480630e+01,5.812750877111548808e-01
1.487352107293511772e+01,3.674199215351322545e-01
1.887391822135097641e+01,2.206453297586655760e-01
2.395026619987486072e+01,1.293139132022485260e-01
3.039195382313198124e+01,7.376644917507561849e-02
3.856620421163471946e+01,4.095248990596900979e-02
4.893900918477493889e+01,2.165946368091974453e-02
6.210169418915616291e+01,1.100941628454899651e-02
7.880462815669912402e+01,5.437018600916032271e-03
1.000000000000000000e+02,2.758245632068904909e-03
