k, P_1h 
1.000000000000000056e-01,7.533523879961419922e+00
1.268961003167922152e-01,7.532916278519069309e+00
1.610262027560939169e-01,7.531938016529696966e+00
2.043359717856941815e-01,7.530363109773796637e+00
2.592943797404667072e-01,7.527828008032337870e+00
3.290344562312668697e-01,7.523748190373302336e+00
4.175318936560401539e-01,7.517184730100546552e+00
5.298316906283708771e-01,7.506631673766024804e+00
6.723357536499336984e-01,7.489679454972923978e+00
8.531678524172807698e-01,7.462487787780027304e+00
1.082636733874054569e+00,7.418974962085137292e+00
1.373823795883263088e+00,7.349608972188605094e+00
1.743328822199988082e+00,7.239702532319394201e+00
2.212216291070449259e+00,7.067258559801684825e+00
2.807216203941177213e+00,6.800892533545170870e+00
3.562247890262442152e+00,6.399557609050253504e+00
4.520353656360242667e+00,5.818118020595715478e+00
5.736152510448678576e+00,5.025518671369215262e+00
7.278953843983149596e+00,4.040069972801308751e+00
9.236708571873860407e+00,2.966528909880186582e+00
1.172102297533480630e+01,1.982460418811301084e+00
1.487352107293511772e+01,1.238033822210726553e+00
1.887391822135097641e+01,7.590847561255175124e-01
2.395026619987486072e+01,4.621915836094853680e-01
3.039195382313198124e+01,2.654683474859940162e-01
3.856620421163471946e+01,1.444067661943309600e-01
4.893900918477493889e+01,7.755396745883287590e-02
6.210169418915616291e+01,4.003226190178788002e-02
7.880462815669912402e+01,2.015751960335120108e-02
1.000000000000000000e+02,1.005857017524415531e-02
