k, P_1h 
1.000000000000000056e-01,2.034051447589583450e+00
1.268961003167922152e-01,2.033887395200149051e+00
1.610262027560939169e-01,2.033623264463018554e+00
2.043359717856941815e-01,2.033198039638925536e+00
2.592943797404667072e-01,2.032513562168731358e+00
3.290344562312668697e-01,2.031412011400791862e+00
4.175318936560401539e-01,2.029639877127148218e+00
5.298316906283708771e-01,2.026790551916826999e+00
6.723357536499336984e-01,2.022213452842690273e+00
8.531678524172807698e-01,2.014871702700607781e+00
1.082636733874054569e+00,2.003123239762987229e+00
1.373823795883263088e+00,1.984394422490923571e+00
1.743328822199988082e+00,1.954719683726236834e+00
2.212216291070449259e+00,1.908159811146455276e+00
2.807216203941177213e+00,1.836240984057196712e+00
3.562247890262442152e+00,1.727880554443568695e+00
4.520353656360242667e+00,1.570891865560843481e+00
5.736152510448678576e+00,1.356890041269688263e+00
7.278953843983149596e+00,1.090818892656353567e+00
9.236708571873860407e+00,8.009628056676502128e-01
1.172102297533480630e+01,5.352643130790513126e-01
1.487352107293511772e+01,3.342691319968961183e-01
1.887391822135097641e+01,2.049528841538897084e-01
2.395026619987486072e+01,1.247917275745610566e-01
3.039195382313198124e+01,7.167645382121837216e-02
3.856620421163471946e+01,3.898982687246934503e-02
4.893900918477493889e+01,2.093957121388487566e-02
6.210169418915616291e+01,1.080871071348272691e-02
7.880462815669912402e+01,5.442530292904822903e-03
1.000000000000000000e+02,2.715813947315921534e-03
