k, P_1h 
1.000000000000000056e-01,5.933410248315540869e+00
1.268961003167922152e-01,5.932932295215141316e+00
1.610262027560939169e-01,5.932162774349210466e+00
2.043359717856941815e-01,5.930923926333521834e+00
2.592943797404667072e-01,5.928929787928929329e+00
3.290344562312668697e-01,5.925720598297071540e+00
4.175318936560401539e-01,5.920557873191439668e+00
5.298316906283708771e-01,5.912257248871099158e+00
6.723357536499336984e-01,5.898923963921606450e+00
8.531678524172807698e-01,5.877538859124628701e+00
1.082636733874054569e+00,5.843322259616147818e+00
1.373823795883263088e+00,5.788787019771485021e+00
1.743328822199988082e+00,5.702406903941152905e+00
2.212216291070449259e+00,5.566943667485725555e+00
2.807216203941177213e+00,5.357858320657065576e+00
3.562247890262442152e+00,5.043173133690956433e+00
4.520353656360242667e+00,4.587929709030478698e+00
5.736152510448678576e+00,3.968333985006527787e+00
7.278953843983149596e+00,3.198592366383518737e+00
9.236708571873860407e+00,2.358210774964360379e+00
1.172102297533480630e+01,1.581563582660444611e+00
1.487352107293511772e+01,9.856296190246416344e-01
1.887391822135097641e+01,5.958427458881083716e-01
2.395026619987486072e+01,3.547818536330236139e-01
3.039195382313198124e+01,2.012319071465054066e-01
3.856620421163471946e+01,1.106061116654500354e-01
4.893900918477493889e+01,5.964980157394871030e-02
6.210169418915616291e+01,3.017401782138376398e-02
7.880462815669912402e+01,1.453964191256868106e-02
1.000000000000000000e+02,6.648369155518636490e-03
