k, P_1h 
1.000000000000000056e-01,5.933405670167189783e+00
1.268961003167922152e-01,5.932924923778912785e+00
1.610262027560939169e-01,5.932150905914884476e+00
2.043359717856941815e-01,5.930904818957938751e+00
2.592943797404667072e-01,5.928899030192797071e+00
3.290344562312668697e-01,5.925671096578616570e+00
4.175318936560401539e-01,5.920478230596936342e+00
5.298316906283708771e-01,5.912129179944264123e+00
6.723357536499336984e-01,5.898718196377374490e+00
8.531678524172807698e-01,5.877208701407552027e+00
1.082636733874054569e+00,5.842793671446528947e+00
1.373823795883263088e+00,5.787943716923852122e+00
1.743328822199988082e+00,5.701069138372283795e+00
2.212216291070449259e+00,5.564840938381783175e+00
2.807216203941177213e+00,5.354602102476611059e+00
3.562247890262442152e+00,5.038251554108708063e+00
4.520353656360242667e+00,4.580781330659911887e+00
5.736152510448678576e+00,3.958616164051038666e+00
7.278953843983149596e+00,3.186792132247478371e+00
9.236708571873860407e+00,2.346526596587210634e+00
1.172102297533480630e+01,1.574075610059870067e+00
1.487352107293511772e+01,9.856736111418205049e-01
1.887391822135097641e+01,6.015002401722034930e-01
2.395026619987486072e+01,3.603871271986039959e-01
3.039195382313198124e+01,2.027229386927772159e-01
3.856620421163471946e+01,1.101909786996900370e-01
4.893900918477493889e+01,5.992449577463992288e-02
6.210169418915616291e+01,3.032292788839712622e-02
7.880462815669912402e+01,1.466140255228439056e-02
1.000000000000000000e+02,6.625292876883600961e-03
