k, P_1h 
1.000000000000000056e-01,3.523577318332033315e+01
1.268961003167922152e-01,3.523082504851597463e+01
1.610262027560939169e-01,3.522285915936261347e+01
2.043359717856941815e-01,3.521003692689662046e+01
2.592943797404667072e-01,3.518940256533677768e+01
3.290344562312668697e-01,3.515620897662683575e+01
4.175318936560401539e-01,3.510284440654157834e+01
5.298316906283708771e-01,3.501713543239927162e+01
6.723357536499336984e-01,3.487969490137168549e+01
8.531678524172807698e-01,3.465985734368906890e+01
1.082636733874054569e+00,3.430965554955012209e+01
1.373823795883263088e+00,3.375542343910242948e+01
1.743328822199988082e+00,3.288744773177475622e+01
2.212216291070449259e+00,3.155073079795859314e+01
2.807216203941177213e+00,2.954631986052572756e+01
3.562247890262442152e+00,2.666450418179945814e+01
4.520353656360242667e+00,2.278323511961286130e+01
5.736152510448678576e+00,1.804689281067364348e+01
7.278953843983149596e+00,1.302770175289831656e+01
9.236708571873860407e+00,8.594295072501635602e+00
1.172102297533480630e+01,5.374272247824674054e+00
1.487352107293511772e+01,3.350104017265294054e+00
1.887391822135097641e+01,2.094982842253410915e+00
2.395026619987486072e+01,1.292738477945915232e+00
3.039195382313198124e+01,8.085839627520048367e-01
3.856620421163471946e+01,4.966038257718581872e-01
4.893900918477493889e+01,2.918546835447612398e-01
6.210169418915616291e+01,1.701980513987209342e-01
7.880462815669912402e+01,9.533793037771676193e-02
1.000000000000000000e+02,5.569011270945914416e-02
