k, P_1h 
1.000000000000000056e-01,1.006759489385110413e+02
1.268961003167922152e-01,1.006632210889590056e+02
1.610262027560939169e-01,1.006427300787969727e+02
2.043359717856941815e-01,1.006097449736861904e+02
2.592943797404667072e-01,1.005566582775906141e+02
3.290344562312668697e-01,1.004712472474350307e+02
4.175318936560401539e-01,1.003339007706674408e+02
5.298316906283708771e-01,1.001132226140472881e+02
6.723357536499336984e-01,9.975912834389089312e+01
8.531678524172807698e-01,9.919218270746762300e+01
1.082636733874054569e+00,9.828758273872546170e+01
1.373823795883263088e+00,9.685226388974265888e+01
1.743328822199988082e+00,9.459517696139231191e+01
2.212216291070449259e+00,9.109646455245702157e+01
2.807216203941177213e+00,8.579626447111796494e+01
3.562247890262442152e+00,7.805509738233418204e+01
4.520353656360242667e+00,6.738178792301725650e+01
5.736152510448678576e+00,5.392314468641673386e+01
7.278953843983149596e+00,3.907860596912011175e+01
9.236708571873860407e+00,2.549489528997479937e+01
1.172102297533480630e+01,1.554983558270431132e+01
1.487352107293511772e+01,9.509572857424398507e+00
1.887391822135097641e+01,5.934105860336048366e+00
2.395026619987486072e+01,3.641771523791168530e+00
3.039195382313198124e+01,2.281639612977161224e+00
3.856620421163471946e+01,1.434393457346205825e+00
4.893900918477493889e+01,8.676109857171013795e-01
6.210169418915616291e+01,5.192557335463154899e-01
7.880462815669912402e+01,2.967522999077527035e-01
1.000000000000000000e+02,1.731577092374751714e-01
