k, P_1h 
1.000000000000000056e-01,3.523589278596156760e+01
1.268961003167922152e-01,3.523101762383267044e+01
1.610262027560939169e-01,3.522316921388747346e+01
2.043359717856941815e-01,3.521053608653491551e+01
2.592943797404667072e-01,3.519020605959001813e+01
3.290344562312668697e-01,3.515750207800853389e+01
4.175318936560401539e-01,3.510492473447538231e+01
5.298316906283708771e-01,3.502048037422970594e+01
6.723357536499336984e-01,3.488506837286619344e+01
8.531678524172807698e-01,3.466847705604300245e+01
1.082636733874054569e+00,3.432345045250884397e+01
1.373823795883263088e+00,3.377741801179067949e+01
1.743328822199988082e+00,3.292230478160943363e+01
2.212216291070449259e+00,3.160543838179106757e+01
2.807216203941177213e+00,2.963085197816212357e+01
3.562247890262442152e+00,2.679188415762376607e+01
4.520353656360242667e+00,2.296761595305327575e+01
5.736152510448678576e+00,1.829718528505882702e+01
7.278953843983149596e+00,1.333464949559760981e+01
9.236708571873860407e+00,8.915949682617476668e+00
1.172102297533480630e+01,5.642241654602529799e+00
1.487352107293511772e+01,3.519442318635566558e+00
1.887391822135097641e+01,2.190759194231714169e+00
2.395026619987486072e+01,1.372132580637027033e+00
3.039195382313198124e+01,8.720778787406603394e-01
3.856620421163471946e+01,5.346959093657693840e-01
4.893900918477493889e+01,3.144490066405687956e-01
6.210169418915616291e+01,1.866443932611952239e-01
7.880462815669912402e+01,1.098491458212865340e-01
1.000000000000000000e+02,6.596404343671673220e-02
