k, P_1h 
1.000000000000000056e-01,1.712301656784479098e+00
1.268961003167922152e-01,1.712137443923133162e+00
1.610262027560939169e-01,1.711873062269076318e+00
2.043359717856941815e-01,1.711447452800530122e+00
2.592943797404667072e-01,1.710762406205452280e+00
3.290344562312668697e-01,1.709660069121193171e+00
4.175318936560401539e-01,1.707887005323309282e+00
5.298316906283708771e-01,1.705037053116596368e+00
6.723357536499336984e-01,1.700461186661229362e+00
8.531678524172807698e-01,1.693127181225809075e+00
1.082636733874054569e+00,1.681405900333761805e+00
1.373823795883263088e+00,1.662758077203373652e+00
1.743328822199988082e+00,1.633306528162286275e+00
2.212216291070449259e+00,1.587331539593279661e+00
2.807216203941177213e+00,1.516880294045382271e+00
3.562247890262442152e+00,1.412024829766656664e+00
4.520353656360242667e+00,1.262861545271323882e+00
5.736152510448678576e+00,1.064668197464054167e+00
7.278953843983149596e+00,8.260516276287934723e-01
9.236708571873860407e+00,5.745387131099479738e-01
1.172102297533480630e+01,3.501796623704539480e-01
1.487352107293511772e+01,1.869624992807459862e-01
1.887391822135097641e+01,9.138055820391499662e-02
2.395026619987486072e+01,4.518086160636398951e-02
3.039195382313198124e+01,2.423396158364059944e-02
3.856620421163471946e+01,1.338816180547292706e-02
4.893900918477493889e+01,6.428032691160046920e-03
6.210169418915616291e+01,2.918917678443159764e-03
7.880462815669912402e+01,1.535626441226694075e-03
1.000000000000000000e+02,7.261701972381141281e-04
